t,motion,speed,area,elong
0.0,,,49307.0,1.4705882352941178
0.19999979999999998,5.485197804664069,4.977685126735849,49013.0,1.4411764705882353
0.39999959999999996,5.454424388944662,3.271711555682874,48809.0,1.4558823529411764
0.5999994,5.148646674596716,12.295741096100762,47919.0,1.4607843137254901
0.7999991999999999,5.795154728146961,11.313575924405542,48666.0,1.4656862745098038
0.999999,,12.398194537875357,49755.0,1.5913461538461537
1.1999988,,10.041415262726703,48885.0,1.4901960784313726
1.3999986,,7.4334191638051506,49357.0,1.4780487804878049
1.5999983999999998,,13.868287221970286,48198.0,1.4803921568627452
1.7999981999999999,5.408764114782969,2.0918977120319378,48265.0,1.4852941176470589
1.999998,5.59983429991715,1.6080150075536028,48280.0,1.4852941176470589
2.1999978,5.675894316512528,4.658271013672193,48333.0,1.5147058823529411
2.3999976,5.6966452243302665,11.139948076023485,49124.0,1.5
2.5999974,5.498458376156218,16.06999535015127,47677.0,1.4901960784313726
2.7999972,,10.331142239343073,48573.0,1.6298076923076923
2.999997,,20.3648457371866,48680.0,1.5
3.1999967999999996,6.922728826853844,14.432211909930151,49721.0,1.5
3.3999965999999997,5.755110030495343,20.54147224285623,48532.0,1.4607843137254901
3.5999963999999998,6.119600919691247,1.004672711252912,48712.0,1.4852941176470589
3.7999962,13.594422043010752,13.249136632971867,47616.0,1.5049019607843137
3.999996,10.867806062064954,21.915394182376804,49851.0,1.5392156862745099
4.1999958,,19.663240958833146,50972.0,1.5721153846153846
4.3999956,,14.591282264373046,48464.0,1.5980392156862746
4.5999954,10.47227607599845,15.819375170918123,46422.0,1.6127450980392157
4.7999952,7.675570590690421,8.15433796092684,45523.0,1.6029411764705883
4.999995,,117.97275970448267,54394.0,1.9759615384615385
5.1999948,14.49369638814464,95.68485503188309,48147.0,1.6201923076923077
5.399994599999999,,17.752669955304814,48145.0,1.6176470588235294
5.5999944,5.932404431664412,7.543535167383968,47296.0,1.607843137254902
5.7999941999999995,10.389562455741293,15.737316480744026,46601.0,1.5735294117647058
5.999994,11.219100190918901,24.9661940860862,48188.0,1.6225490196078431
6.1999938,,12.033320612803722,49300.0,1.7307692307692308
6.399993599999999,,11.905553605275403,48290.0,1.6274509803921569
6.5999934,8.460414204863486,1.6621940112531035,48237.0,1.6274509803921569
6.799993199999999,9.492398596664,4.861095757812588,48741.0,1.6274509803921569
6.999993,7.916375951200604,2.6556239573214437,49017.0,1.6274509803921569
7.1999927999999995,5.882345751940195,1.7754945190363332,49093.0,1.6274509803921569
7.3999926,4.654686041319966,0.9289144157437057,49274.0,1.6323529411764706
7.5999924,4.522871031382838,1.0745952362342612,49167.0,1.6323529411764706
7.799992199999999,5.233165172279978,1.8379825529627454,48961.0,1.6323529411764706
7.999992,6.06009866333695,1.2194637570365583,48853.0,1.6323529411764706
8.1999918,7.097562952008589,3.296831896714992,49363.0,1.6323529411764706
8.3999916,8.739531410812665,1.849017399326794,49553.0,1.6323529411764706
8.5999914,7.35809611203096,5.686940178611032,50129.0,1.642156862745098
8.7999912,7.472273324572931,9.02767413230252,49465.0,1.6372549019607843
8.999991,7.965922586099314,3.253356312945987,49681.0,1.6274509803921569
9.1999908,5.904504323346068,3.558575139577819,49730.0,1.6274509803921569
9.399990599999999,4.849790484592097,1.4942180248744996,49877.0,1.6274509803921569
9.5999904,4.3672780897741506,3.5443785864528237,49502.0,1.6274509803921569
9.7999902,4.408901392487047,0.9248844298966109,49408.0,1.6274509803921569
9.99999,4.346048165508324,0.4888948229601088,49496.0,1.6274509803921569
10.199989799999999,4.382922109337204,1.2909727947846878,49608.0,1.6274509803921569
10.3999896,4.342001369697458,0.6177353774200408,49646.0,1.6274509803921569
10.5999894,4.404322988412608,2.2528833922083997,49364.0,1.6274509803921569
10.799989199999999,22.273934118112575,46.850409983553185,50545.0,1.6666666666666667
10.999989,14.373592284118896,47.39886367320953,53189.0,1.7107843137254901
11.1999888,5.874253977219241,2.1225008483844747,53115.0,1.7205882352941178
11.399988599999999,6.90104118334849,13.281956859055404,53881.0,1.7450980392156863
11.599988399999999,7.300299841485074,25.266657726807676,52361.0,1.7009803921568627
11.7999882,,22.637808291260733,54307.0,1.7403846153846154
11.999988,,9.09063476307199,52873.0,1.7598039215686274
