measure,n_mice,day1,day2,ratio,p_wilcoxon,p_floor,n_down
motion_index,6,7.246273668047785,5.152044503842771,0.7109922616586438,0.15625,0.03125,5
speed_px_s,6,24.75492382494757,11.83407136888574,0.4780491934683141,0.03125,0.03125,6
frac_moving,6,0.6167927603819675,0.4697968761566363,0.7616770272493153,0.0625,0.03125,5
area_px,6,38815.166666666664,27323.466666666664,0.7039378936927575,0.03125,0.03125,6
elongation,6,2.4886084220025317,2.626919198040595,1.0555775568447074,0.84375,0.03125,3
