t,motion,speed,area,elong
0.0,,,27083.0,1.8733333333333333
0.19999979999999998,2.690198868956219,6.417559405747448,26701.0,1.912751677852349
0.39999959999999996,13.151292417003553,105.7018858291172,24489.0,1.9854014598540146
0.5999994,4.455553681369655,19.50573809361558,23714.0,1.9562043795620438
0.7999991999999999,7.8763813522398705,143.49381370827194,25247.0,3.5704225352112675
0.999999,4.7854276663146775,8.780119990377136,23675.0,3.3541666666666665
1.1999988,,368.52238910609464,71940.0,2.683982683982684
1.3999986,,320.84341239972923,20228.0,3.7426470588235294
1.5999983999999998,,351.33516640091716,68887.0,2.897196261682243
1.7999981999999999,4.675841677498608,13.26572561643027,70009.0,2.8181818181818183
1.999998,,381.70165049603395,20593.0,3.6690647482014387
2.1999978,,387.0235472805529,69383.0,2.8703703703703702
2.3999976,,361.53179574430766,19651.0,3.762962962962963
2.5999974,,365.1059833665508,68981.0,2.897196261682243
2.7999972,2.4144990017649954,2.4496922872835194,69122.0,2.883720930232558
2.999997,2.464807340515114,1.381227299098885,68878.0,2.897196261682243
3.1999967999999996,2.8096452184434555,5.6751170652785214,69423.0,2.8703703703703702
3.3999965999999997,,498.9113870592664,18461.0,1.8
3.5999963999999998,,493.815781076568,69945.0,2.683982683982684
3.7999962,19.67427531522163,93.50949369549399,76930.0,2.1160409556313993
3.999996,9.198354864361043,11.330199840653913,76711.0,2.1160409556313993
4.1999958,6.003272199498615,11.691615376097847,75790.0,2.1160409556313993
4.3999956,16.545585696670777,36.44464330086294,81100.0,2.1160409556313993
4.5999954,,463.43898583225695,34974.0,1.27
4.7999952,12.562313001747786,62.40041364445976,33757.0,1.2690355329949239
4.999995,13.620623748558947,83.28360511905368,32962.0,1.383419689119171
5.1999948,6.125968802119101,45.72057509941718,30579.0,1.4782608695652173
5.399994599999999,4.587716937979281,18.216222946201373,29732.0,1.5363128491620113
5.5999944,8.193742053962424,161.39701440221467,28316.0,3.175
5.7999941999999995,5.6760853008377765,81.19378660020969,26260.0,1.9937888198757765
5.999994,10.840731527870231,26.584642453198978,28543.0,3.0419161676646707
6.1999938,40.0061003163127,298.81977624165626,26556.0,1.4911242603550297
6.399993599999999,18.89728489745609,121.69977531504911,29207.0,3.7872340425531914
6.5999934,19.14585519412382,197.8075802099519,23825.0,3.953846153846154
6.799993199999999,21.608750506916596,158.0095753211978,22193.0,3.515151515151515
6.999993,12.10898365728653,50.51312015620874,20682.0,4.233333333333333
