Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,Heat,9016,300.4997
,2,1,Heat,9118,303.8997
,3,2,Mild touch,9119,303.9330
,4,1,Heat,9275,309.1330
,5,1,Heat,11440,381.2996
,6,1,Heat,11540,384.6329
,7,1,Heat,11564,385.4329
,8,2,Mild touch,11565,385.4663
,9,1,Heat,12701,423.3329
,10,2,Mild touch,12705,423.4662
,11,1,Heat,12796,426.4996
,12,1,Heat,14887,496.1995
,13,1,Heat,14890,496.2995
,14,2,Mild touch,14891,496.3328
,15,1,Heat,14947,498.1995
,16,1,Heat,14954,498.4328
,17,1,Heat,17215,573.7994
,18,2,Mild touch,17220,573.9661
,19,1,Heat,17291,576.3328
,20,2,Mild touch,17332,577.6994
,21,2,Mild touch,20039,667.9327
,22,2,Mild touch,20240,674.6327
,23,2,Mild touch,20468,682.2327
,24,2,Mild touch,21808,726.8993
,25,2,Mild touch,22027,734.1993
,26,2,Mild touch,22121,737.3326
,27,1,Heat,22126,737.4993
,28,1,Heat,24227,807.5325
,29,1,Heat,24323,810.7325
,30,2,Mild touch,26097,869.8658
,31,2,Mild touch,26210,873.6325
,32,2,Mild touch,26262,875.3658
,33,2,Mild touch,26342,878.0325
,34,2,Mild touch,26567,885.5324
,35,2,Mild touch,26686,889.4991
,36,2,Mild touch,27638,921.2324
,37,2,Mild touch,27768,925.5657
,38,2,Mild touch,27855,928.4657
,39,2,Mild touch,28029,934.2657
,40,2,Mild touch,28128,937.5657
,41,3,Pin Prick,30997,1033.1990
,42,3,Pin Prick,31063,1035.3990
,43,3,Pin Prick,33613,1120.3989
,44,3,Pin Prick,33702,1123.3655
,45,3,Pin Prick,33744,1124.7655
,46,3,Pin Prick,33793,1126.3989
,47,3,Pin Prick,33825,1127.4655
,48,3,Pin Prick,33864,1128.7655
,49,3,Pin Prick,33939,1131.2655
,50,3,Pin Prick,33971,1132.3322
,51,3,Pin Prick,34000,1133.2989
,52,3,Pin Prick,34594,1153.0988
,53,3,Pin Prick,34639,1154.5988
,54,3,Pin Prick,34644,1154.7655
,55,3,Pin Prick,34655,1155.1322
,56,3,Pin Prick,34658,1155.2322
,57,3,Pin Prick,34764,1158.7655
,58,3,Pin Prick,34829,1160.9322
,59,3,Pin Prick,34836,1161.1655
,60,3,Pin Prick,35038,1167.8988
,61,3,Pin Prick,35073,1169.0655
,62,3,Pin Prick,35080,1169.2988
,63,3,Pin Prick,36173,1205.7321
,64,3,Pin Prick,36179,1205.9321
,65,3,Pin Prick,36191,1206.3321
,66,3,Pin Prick,36227,1207.5321
,67,3,Pin Prick,36237,1207.8655
,68,3,Pin Prick,36279,1209.2655
,69,3,Pin Prick,37937,1264.5321
,70,3,Pin Prick,37998,1266.5654
,71,3,Pin Prick,38043,1268.0654
,72,4,Light ,42038,1401.2319
,73,4,Light ,42240,1407.9653
,74,4,Light ,44910,1496.9652
,75,4,Light ,45103,1503.3985
,76,4,Light ,45139,1504.5985
,77,4,Light ,45217,1507.1985
,78,4,Light ,45293,1509.7318
,79,4,Light ,49180,1639.2984
,80,4,Light ,49350,1644.9650
,81,4,Light ,49446,1648.1650
,82,4,Light ,49559,1651.9317
,83,4,Light ,49641,1654.6650
,84,4,Light ,49672,1655.6983
,85,4,Light ,49766,1658.8317
,86,4,Light ,49930,1664.2983
,87,4,Light ,50235,1674.4650
,88,4,Light ,50260,1675.2983
