Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,1,1,pin prick,1,7.37,1,0,2,0.57,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,2,1,pin prick,2,30.00,1,0,2,2.47,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,3,1,pin prick,3,3.80,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,4,1,pin prick,4,1.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,5,1,pin prick,5,1.40,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,6,1,pin prick,6,1.90,1,2,2,0.80,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,7,1,pin prick,7,0.07,0,0,1,0.07,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,8,2,Mild touch,1,30.00,0,0,2,1.00,2,0.70,0,0.00,2,4.20,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,9,1,pin prick,8,1.93,1,0,1,0.27,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,10,1,pin prick,9,1.73,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,11,1,pin prick,10,3.23,1,2,1,0.33,2,0.47,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,12,1,pin prick,11,0.87,0,0,1,0.40,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,13,1,pin prick,12,30.00,0,0,0,0.00,1,0.27,0,0.00,3,5.43,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,14,1,pin prick,13,1.73,1,0,1,0.17,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,15,1,pin prick,14,2.90,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,16,1,pin prick,15,0.73,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,17,1,pin prick,16,2.20,0,0,1,0.20,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,18,1,pin prick,17,1.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,19,1,pin prick,18,1.27,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,20,1,pin prick,19,2.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,21,1,pin prick,20,1.77,1,0,0,0.00,1,0.20,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,22,1,pin prick,21,30.00,1,0,1,0.37,0,0.00,0,0.00,2,1.87,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,23,2,Mild touch,2,2.70,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,24,2,Mild touch,3,2.20,1,0,1,0.40,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,25,2,Mild touch,4,0.60,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,26,2,Mild touch,5,2.20,1,0,1,0.43,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,27,2,Mild touch,6,0.97,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,28,2,Mild touch,7,19.73,1,0,1,0.30,0,0.00,0,0.00,1,3.87,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,29,2,Mild touch,8,1.67,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,30,2,Mild touch,9,2.30,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,31,2,Mild touch,10,1.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,32,2,Mild touch,11,3.90,1,0,1,0.23,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,33,2,Mild touch,12,2.10,1,0,1,0.40,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,34,2,Mild touch,13,30.00,1,0,1,0.20,0,0.00,0,0.00,1,2.03,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,35,2,Mild touch,14,1.13,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,36,2,Mild touch,15,1.33,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,37,2,Mild touch,16,2.33,1,1,0,0.00,1,0.23,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,38,2,Mild touch,17,0.33,0,0,0,0.00,1,0.13,0,0.00,0,0.00,,male3bottom000426_09_0213_35_27_011.avi,dual view; guard min 2.0s
