Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,,,,Baseline,BLIND,67,4,light,10,6.87,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,68,4,light,11,0.73,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,69,4,light,12,2.53,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,70,4,light,13,5.20,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,71,4,light,14,5.83,1,4,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,72,4,light,15,30.00,1,0,0,0.00,0,0.00,0,0.00,2,3.93,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,73,4,light,16,4.17,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,74,4,light,17,2.93,0,0,1,0.47,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,75,4,light,18,1.33,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,76,4,light,19,2.80,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,77,4,light,20,2.03,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,78,4,light,21,4.27,1,0,0,0.00,0,0.00,0,0.00,1,0.43,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,79,4,light,22,2.30,1,0,0,0.00,0,0.00,0,0.00,1,0.40,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,80,4,light,23,30.00,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,81,4,light,24,0.90,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,82,4,light,25,9.30,1,0,1,0.20,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
,,,,Baseline,BLIND,83,4,light,26,30.00,0,0,2,1.93,0,0.00,0,0.00,0,0.00,,male2bottom000526_09_0214_06_31_004.avi,dual view; guard min 2.0s
