Session,Day,Mouse ID,Sex,Phase,Treatment,Stim code,Stimulus,n_delivered,obs_time_s,withdrawal_n,withdrawal_rate,flinch_n,flinch_per_stim,attending_n,attending_per_stim,attending_dur_s,attending_s_per_stim,attending_pct_time,lickbite_n,lickbite_per_stim,lickbite_dur_s,lickbite_s_per_stim,lickbite_pct_time,guarding_n,guarding_per_stim,guarding_dur_s,guarding_s_per_stim,guarding_pct_time,escape_n,escape_per_stim,escape_dur_s,escape_s_per_stim,escape_pct_time
,,,,Baseline,BLIND,1,heat,15,148.93,14,0.9333,2,0.1333,12,0.8000,1.93,0.1289,1.30,56,3.7333,8.63,0.5756,5.80,0,0.0000,0.00,0.0000,0.00,38,2.5333,11.83,0.7889,7.95
,,,,Baseline,BLIND,2,Mild touch,30,222.67,10,0.3333,7,0.2333,6,0.2000,0.40,0.0133,0.18,13,0.4333,5.83,0.1944,2.62,0,0.0000,0.00,0.0000,0.00,6,0.2000,3.33,0.1111,1.50
,,,,Baseline,BLIND,3,pin prick,21,181.20,17,0.8095,15,0.7143,2,0.0952,0.47,0.0222,0.26,10,0.4762,1.67,0.0794,0.92,0,0.0000,0.00,0.0000,0.00,26,1.2381,14.47,0.6889,7.98
,,,,Baseline,BLIND,4,mild ,19,160.13,17,0.8947,9,0.4737,4,0.2105,0.47,0.0246,0.29,2,0.1053,0.63,0.0333,0.40,0,0.0000,0.00,0.0000,0.00,10,0.5263,3.97,0.2088,2.48
