Session,Day,Mouse ID,Sex,Phase,Treatment,Stim code,Stimulus,n_delivered,obs_time_s,withdrawal_n,withdrawal_rate,flinch_n,flinch_per_stim,attending_n,attending_per_stim,attending_dur_s,attending_s_per_stim,attending_pct_time,lickbite_n,lickbite_per_stim,lickbite_dur_s,lickbite_s_per_stim,lickbite_pct_time,guarding_n,guarding_per_stim,guarding_dur_s,guarding_s_per_stim,guarding_pct_time,escape_n,escape_per_stim,escape_dur_s,escape_s_per_stim,escape_pct_time
,,,,Baseline,BLIND,1,pin prick,21,128.97,17,0.8095,11,0.5238,13,0.6190,5.63,0.2683,4.37,4,0.1905,0.93,0.0444,0.72,0,0.0000,0.00,0.0000,0.00,5,0.2381,7.30,0.3476,5.66
,,,,Baseline,BLIND,2,Mild touch,30,157.27,24,0.8000,6,0.2000,11,0.3667,4.30,0.1433,2.73,6,0.2000,1.33,0.0444,0.85,0,0.0000,0.00,0.0000,0.00,6,0.2000,12.67,0.4222,8.05
,,,,Baseline,BLIND,3,light,20,178.40,14,0.7000,8,0.4000,8,0.4000,6.77,0.3383,3.79,1,0.0500,0.43,0.0217,0.24,0,0.0000,0.00,0.0000,0.00,6,0.3000,10.83,0.5417,6.07
,,,,Baseline,BLIND,4,heat,20,157.77,18,0.9000,23,1.1500,11,0.5500,2.67,0.1333,1.69,10,0.5000,0.77,0.0383,0.49,0,0.0000,0.00,0.0000,0.00,10,0.5000,13.13,0.6567,8.32
