window,mouse,stimulus,behaviour,n_bouts,n_del,n_per_del,dur_min
5 min block,F3,Mild touch,lickbite,2,19,0.10526315789473684,4.95332838
5 min block,F3,Mild touch,guarding,2,19,0.10526315789473684,4.95332838
5 min block,F3,Mild touch,escape,8,19,0.42105263157894735,4.95332838
5 min block,F3,Mild touch,withdrawal,19,19,1.0,4.95332838
5 min block,F3,Mild touch,flinch,9,19,0.47368421052631576,4.95332838
5 min block,M1,Mild touch,attending,5,26,0.19230769230769232,4.999994999999999
5 min block,M1,Mild touch,lickbite,4,26,0.15384615384615385,4.999994999999999
5 min block,M1,Mild touch,guarding,8,26,0.3076923076923077,4.999994999999999
5 min block,M1,Mild touch,escape,11,26,0.4230769230769231,4.999994999999999
5 min block,M1,Mild touch,withdrawal,29,26,1.1153846153846154,4.999994999999999
5 min block,M1,Mild touch,flinch,18,26,0.6923076923076923,4.999994999999999
5 min block,M1,Light touch,attending,4,28,0.14285714285714285,4.999994999999999
5 min block,M1,Light touch,lickbite,7,28,0.25,4.999994999999999
5 min block,M1,Light touch,guarding,2,28,0.07142857142857142,4.999994999999999
5 min block,M1,Light touch,escape,16,28,0.5714285714285714,4.999994999999999
5 min block,M1,Light touch,withdrawal,21,28,0.75,4.999994999999999
5 min block,M1,Light touch,flinch,28,28,1.0,4.999994999999999
5 min block,M1,Heat,attending,15,22,0.6818181818181818,4.999994999999999
5 min block,M1,Heat,lickbite,9,22,0.4090909090909091,4.999994999999999
5 min block,M1,Heat,guarding,9,22,0.4090909090909091,4.999994999999999
5 min block,M1,Heat,escape,11,22,0.5,4.999994999999999
5 min block,M1,Heat,withdrawal,18,22,0.8181818181818182,4.999994999999999
5 min block,M1,Heat,flinch,60,22,2.727272727272727,4.999994999999999
5 min block,M1,Pin prick,attending,8,24,0.3333333333333333,4.999994999999999
5 min block,M1,Pin prick,lickbite,0,24,0.0,4.999994999999999
5 min block,M1,Pin prick,guarding,9,24,0.375,4.999994999999999
5 min block,M1,Pin prick,escape,7,24,0.2916666666666667,4.999994999999999
5 min block,M1,Pin prick,withdrawal,27,24,1.125,4.999994999999999
5 min block,M1,Pin prick,flinch,38,24,1.5833333333333333,4.999994999999999
5 min block,M2,Pin prick,attending,11,23,0.4782608695652174,4.999994999999999
5 min block,M2,Pin prick,lickbite,6,23,0.2608695652173913,4.999994999999999
5 min block,M2,Pin prick,guarding,4,23,0.17391304347826086,4.999994999999999
5 min block,M2,Pin prick,escape,23,23,1.0,4.999994999999999
5 min block,M2,Pin prick,withdrawal,31,23,1.3478260869565217,4.999994999999999
5 min block,M2,Pin prick,flinch,33,23,1.434782608695652,4.999994999999999
5 min block,M2,Mild touch,attending,9,21,0.42857142857142855,4.999994999999999
5 min block,M2,Mild touch,lickbite,5,21,0.23809523809523808,4.999994999999999
5 min block,M2,Mild touch,guarding,6,21,0.2857142857142857,4.999994999999999
5 min block,M2,Mild touch,escape,16,21,0.7619047619047619,4.999994999999999
5 min block,M2,Mild touch,withdrawal,22,21,1.0476190476190477,4.999994999999999
5 min block,M2,Mild touch,flinch,22,21,1.0476190476190477,4.999994999999999
5 min block,M2,Heat,attending,9,16,0.5625,4.999994999999999
5 min block,M2,Heat,lickbite,7,16,0.4375,4.999994999999999
5 min block,M2,Heat,guarding,10,16,0.625,4.999994999999999
5 min block,M2,Heat,escape,15,16,0.9375,4.999994999999999
5 min block,M2,Heat,withdrawal,29,16,1.8125,4.999994999999999
5 min block,M2,Heat,flinch,47,16,2.9375,4.999994999999999
5 min block,M2,Light touch,attending,8,23,0.34782608695652173,4.86332847
5 min block,M2,Light touch,lickbite,1,23,0.043478260869565216,4.86332847
5 min block,M2,Light touch,guarding,1,23,0.043478260869565216,4.86332847
5 min block,M2,Light touch,escape,9,23,0.391304347826087,4.86332847
5 min block,M2,Light touch,withdrawal,17,23,0.7391304347826086,4.86332847
5 min block,M2,Light touch,flinch,8,23,0.34782608695652173,4.86332847
5 min block,M3,Pin prick,attending,13,22,0.5909090909090909,4.999994999999999
5 min block,M3,Pin prick,lickbite,5,22,0.22727272727272727,4.999994999999999
5 min block,M3,Pin prick,guarding,2,22,0.09090909090909091,4.999994999999999
5 min block,M3,Pin prick,escape,11,22,0.5,4.999994999999999
5 min block,M3,Pin prick,withdrawal,23,22,1.0454545454545454,4.999994999999999
5 min block,M3,Pin prick,flinch,11,22,0.5,4.999994999999999
5 min block,M3,Mild touch,attending,10,24,0.4166666666666667,3.97444047
5 min block,M3,Mild touch,lickbite,3,24,0.125,3.97444047
5 min block,M3,Mild touch,guarding,4,24,0.16666666666666666,3.97444047
5 min block,M3,Mild touch,escape,11,24,0.4583333333333333,3.97444047
5 min block,M3,Mild touch,withdrawal,27,24,1.125,3.97444047
5 min block,M3,Mild touch,flinch,4,24,0.16666666666666666,3.97444047
5 min block,M3,Light touch,attending,8,25,0.32,4.999994999999999
5 min block,M3,Light touch,lickbite,1,25,0.04,4.999994999999999
5 min block,M3,Light touch,guarding,5,25,0.2,4.999994999999999
5 min block,M3,Light touch,escape,5,25,0.2,4.999994999999999
5 min block,M3,Light touch,withdrawal,26,25,1.04,4.999994999999999
5 min block,M3,Light touch,flinch,10,25,0.4,4.999994999999999
5 min block,M3,Heat,attending,12,20,0.6,4.999994999999999
5 min block,M3,Heat,lickbite,12,20,0.6,4.999994999999999
5 min block,M3,Heat,guarding,13,20,0.65,4.999994999999999
5 min block,M3,Heat,escape,14,20,0.7,4.999994999999999
5 min block,M3,Heat,withdrawal,28,20,1.4,4.999994999999999
5 min block,M3,Heat,flinch,23,20,1.15,4.999994999999999
6 min block + rest,F1,Mild touch,attending,0,26,0.0,5.346105765
6 min block + rest,F1,Mild touch,lickbite,0,26,0.0,5.346105765
6 min block + rest,F1,Mild touch,guarding,1,26,0.038461538461538464,5.346105765
6 min block + rest,F1,Mild touch,escape,7,26,0.2692307692307692,5.346105765
6 min block + rest,F1,Mild touch,withdrawal,40,26,1.5384615384615385,5.346105765
6 min block + rest,F1,Mild touch,flinch,28,26,1.0769230769230769,5.346105765
6 min block + rest,F1,Pin prick,attending,8,16,0.5,5.999994
6 min block + rest,F1,Pin prick,lickbite,3,16,0.1875,5.999994
6 min block + rest,F1,Pin prick,guarding,0,16,0.0,5.999994
6 min block + rest,F1,Pin prick,escape,26,16,1.625,5.999994
6 min block + rest,F1,Pin prick,withdrawal,20,16,1.25,5.999994
6 min block + rest,F1,Pin prick,flinch,13,16,0.8125,5.999994
6 min block + rest,F1,Light touch,attending,1,22,0.045454545454545456,5.98332735
6 min block + rest,F1,Light touch,lickbite,3,22,0.13636363636363635,5.98332735
6 min block + rest,F1,Light touch,guarding,0,22,0.0,5.98332735
6 min block + rest,F1,Light touch,escape,6,22,0.2727272727272727,5.98332735
6 min block + rest,F1,Light touch,withdrawal,13,22,0.5909090909090909,5.98332735
6 min block + rest,F1,Light touch,flinch,7,22,0.3181818181818182,5.98332735
6 min block + rest,F1,Heat,attending,2,23,0.08695652173913043,4.856106254999999
6 min block + rest,F1,Heat,lickbite,14,23,0.6086956521739131,4.856106254999999
6 min block + rest,F1,Heat,guarding,1,23,0.043478260869565216,4.856106254999999
6 min block + rest,F1,Heat,escape,25,23,1.0869565217391304,4.856106254999999
6 min block + rest,F1,Heat,withdrawal,36,23,1.565217391304348,4.856106254999999
6 min block + rest,F1,Heat,flinch,22,23,0.9565217391304348,4.856106254999999
6 min block + rest,F2,Heat,attending,6,20,0.3,5.999994
6 min block + rest,F2,Heat,lickbite,26,20,1.3,5.999994
6 min block + rest,F2,Heat,guarding,11,20,0.55,5.999994
6 min block + rest,F2,Heat,escape,20,20,1.0,5.999994
6 min block + rest,F2,Heat,withdrawal,26,20,1.3,5.999994
6 min block + rest,F2,Heat,flinch,12,20,0.6,5.999994
6 min block + rest,F2,Mild touch,attending,5,20,0.25,5.999994
6 min block + rest,F2,Mild touch,lickbite,9,20,0.45,5.999994
6 min block + rest,F2,Mild touch,guarding,1,20,0.05,5.999994
6 min block + rest,F2,Mild touch,escape,19,20,0.95,5.999994
6 min block + rest,F2,Mild touch,withdrawal,20,20,1.0,5.999994
6 min block + rest,F2,Mild touch,flinch,1,20,0.05,5.999994
6 min block + rest,F2,Pin prick,attending,5,31,0.16129032258064516,5.999994
6 min block + rest,F2,Pin prick,lickbite,14,31,0.45161290322580644,5.999994
6 min block + rest,F2,Pin prick,guarding,10,31,0.3225806451612903,5.999994
6 min block + rest,F2,Pin prick,escape,9,31,0.2903225806451613,5.999994
6 min block + rest,F2,Pin prick,withdrawal,32,31,1.032258064516129,5.999994
6 min block + rest,F2,Pin prick,flinch,5,31,0.16129032258064516,5.999994
6 min block + rest,F2,Light touch,attending,3,17,0.17647058823529413,4.650550905
6 min block + rest,F2,Light touch,lickbite,2,17,0.11764705882352941,4.650550905
6 min block + rest,F2,Light touch,guarding,1,17,0.058823529411764705,4.650550905
6 min block + rest,F2,Light touch,escape,12,17,0.7058823529411765,4.650550905
6 min block + rest,F2,Light touch,withdrawal,14,17,0.8235294117647058,4.650550905
6 min block + rest,F2,Light touch,flinch,7,17,0.4117647058823529,4.650550905
6 min block + rest,F3,Heat,attending,5,15,0.3333333333333333,5.999994
6 min block + rest,F3,Heat,lickbite,37,15,2.466666666666667,5.999994
6 min block + rest,F3,Heat,guarding,8,15,0.5333333333333333,5.999994
6 min block + rest,F3,Heat,escape,38,15,2.533333333333333,5.999994
6 min block + rest,F3,Heat,withdrawal,35,15,2.3333333333333335,5.999994
6 min block + rest,F3,Heat,flinch,2,15,0.13333333333333333,5.999994
6 min block + rest,F3,Light touch,attending,4,30,0.13333333333333333,5.888882999999999
6 min block + rest,F3,Light touch,lickbite,8,30,0.26666666666666666,5.888882999999999
6 min block + rest,F3,Light touch,guarding,3,30,0.1,5.888882999999999
6 min block + rest,F3,Light touch,escape,5,30,0.16666666666666666,5.888882999999999
6 min block + rest,F3,Light touch,withdrawal,16,30,0.5333333333333333,5.888882999999999
6 min block + rest,F3,Light touch,flinch,7,30,0.23333333333333334,5.888882999999999
6 min block + rest,F3,Pin prick,attending,2,21,0.09523809523809523,5.93777184
6 min block + rest,F3,Pin prick,lickbite,8,21,0.38095238095238093,5.93777184
6 min block + rest,F3,Pin prick,guarding,12,21,0.5714285714285714,5.93777184
6 min block + rest,F3,Pin prick,escape,26,21,1.2380952380952381,5.93777184
6 min block + rest,F3,Pin prick,withdrawal,18,21,0.8571428571428571,5.93777184
6 min block + rest,F3,Pin prick,flinch,15,21,0.7142857142857143,5.93777184
6 min block + rest,F3,Mild touch,attending,4,19,0.21052631578947367,4.95332838
6 min block + rest,F3,Mild touch,lickbite,2,19,0.10526315789473684,4.95332838
6 min block + rest,F3,Mild touch,guarding,2,19,0.10526315789473684,4.95332838
6 min block + rest,F3,Mild touch,escape,8,19,0.42105263157894735,4.95332838
6 min block + rest,F3,Mild touch,withdrawal,19,19,1.0,4.95332838
6 min block + rest,F3,Mild touch,flinch,9,19,0.47368421052631576,4.95332838
6 min block + rest,M1,Mild touch,attending,5,26,0.19230769230769232,5.999994
6 min block + rest,M1,Mild touch,lickbite,4,26,0.15384615384615385,5.999994
6 min block + rest,M1,Mild touch,guarding,8,26,0.3076923076923077,5.999994
6 min block + rest,M1,Mild touch,escape,12,26,0.46153846153846156,5.999994
6 min block + rest,M1,Mild touch,withdrawal,30,26,1.1538461538461537,5.999994
6 min block + rest,M1,Mild touch,flinch,18,26,0.6923076923076923,5.999994
6 min block + rest,M1,Light touch,attending,4,28,0.14285714285714285,5.8777719
6 min block + rest,M1,Light touch,lickbite,7,28,0.25,5.8777719
6 min block + rest,M1,Light touch,guarding,2,28,0.07142857142857142,5.8777719
6 min block + rest,M1,Light touch,escape,19,28,0.6785714285714286,5.8777719
6 min block + rest,M1,Light touch,withdrawal,21,28,0.75,5.8777719
6 min block + rest,M1,Light touch,flinch,28,28,1.0,5.8777719
6 min block + rest,M1,Heat,attending,15,22,0.6818181818181818,5.94888294
6 min block + rest,M1,Heat,lickbite,9,22,0.4090909090909091,5.94888294
6 min block + rest,M1,Heat,guarding,9,22,0.4090909090909091,5.94888294
6 min block + rest,M1,Heat,escape,14,22,0.6363636363636364,5.94888294
6 min block + rest,M1,Heat,withdrawal,18,22,0.8181818181818182,5.94888294
6 min block + rest,M1,Heat,flinch,60,22,2.727272727272727,5.94888294
6 min block + rest,M1,Pin prick,attending,8,24,0.3333333333333333,5.031661635
6 min block + rest,M1,Pin prick,lickbite,0,24,0.0,5.031661635
6 min block + rest,M1,Pin prick,guarding,9,24,0.375,5.031661635
6 min block + rest,M1,Pin prick,escape,7,24,0.2916666666666667,5.031661635
6 min block + rest,M1,Pin prick,withdrawal,27,24,1.125,5.031661635
6 min block + rest,M1,Pin prick,flinch,38,24,1.5833333333333333,5.031661635
6 min block + rest,M2,Pin prick,attending,11,23,0.4782608695652174,5.999994
6 min block + rest,M2,Pin prick,lickbite,6,23,0.2608695652173913,5.999994
6 min block + rest,M2,Pin prick,guarding,4,23,0.17391304347826086,5.999994
6 min block + rest,M2,Pin prick,escape,27,23,1.173913043478261,5.999994
6 min block + rest,M2,Pin prick,withdrawal,31,23,1.3478260869565217,5.999994
6 min block + rest,M2,Pin prick,flinch,33,23,1.434782608695652,5.999994
6 min block + rest,M2,Mild touch,attending,9,21,0.42857142857142855,5.58332775
6 min block + rest,M2,Mild touch,lickbite,5,21,0.23809523809523808,5.58332775
6 min block + rest,M2,Mild touch,guarding,6,21,0.2857142857142857,5.58332775
6 min block + rest,M2,Mild touch,escape,16,21,0.7619047619047619,5.58332775
6 min block + rest,M2,Mild touch,withdrawal,22,21,1.0476190476190477,5.58332775
6 min block + rest,M2,Mild touch,flinch,22,21,1.0476190476190477,5.58332775
6 min block + rest,M2,Heat,attending,9,16,0.5625,5.73443871
6 min block + rest,M2,Heat,lickbite,7,16,0.4375,5.73443871
6 min block + rest,M2,Heat,guarding,10,16,0.625,5.73443871
6 min block + rest,M2,Heat,escape,16,16,1.0,5.73443871
6 min block + rest,M2,Heat,withdrawal,29,16,1.8125,5.73443871
6 min block + rest,M2,Heat,flinch,47,16,2.9375,5.73443871
6 min block + rest,M2,Light touch,attending,8,23,0.34782608695652173,4.86332847
6 min block + rest,M2,Light touch,lickbite,1,23,0.043478260869565216,4.86332847
6 min block + rest,M2,Light touch,guarding,1,23,0.043478260869565216,4.86332847
6 min block + rest,M2,Light touch,escape,9,23,0.391304347826087,4.86332847
6 min block + rest,M2,Light touch,withdrawal,17,23,0.7391304347826086,4.86332847
6 min block + rest,M2,Light touch,flinch,8,23,0.34782608695652173,4.86332847
6 min block + rest,M3,Pin prick,attending,13,22,0.5909090909090909,5.999994
6 min block + rest,M3,Pin prick,lickbite,5,22,0.22727272727272727,5.999994
6 min block + rest,M3,Pin prick,guarding,2,22,0.09090909090909091,5.999994
6 min block + rest,M3,Pin prick,escape,12,22,0.5454545454545454,5.999994
6 min block + rest,M3,Pin prick,withdrawal,23,22,1.0454545454545454,5.999994
6 min block + rest,M3,Pin prick,flinch,11,22,0.5,5.999994
6 min block + rest,M3,Mild touch,attending,10,24,0.4166666666666667,3.97444047
6 min block + rest,M3,Mild touch,lickbite,3,24,0.125,3.97444047
6 min block + rest,M3,Mild touch,guarding,4,24,0.16666666666666666,3.97444047
6 min block + rest,M3,Mild touch,escape,11,24,0.4583333333333333,3.97444047
6 min block + rest,M3,Mild touch,withdrawal,27,24,1.125,3.97444047
6 min block + rest,M3,Mild touch,flinch,4,24,0.16666666666666666,3.97444047
6 min block + rest,M3,Light touch,attending,8,25,0.32,5.999994
6 min block + rest,M3,Light touch,lickbite,1,25,0.04,5.999994
6 min block + rest,M3,Light touch,guarding,5,25,0.2,5.999994
6 min block + rest,M3,Light touch,escape,6,25,0.24,5.999994
6 min block + rest,M3,Light touch,withdrawal,26,25,1.04,5.999994
6 min block + rest,M3,Light touch,flinch,10,25,0.4,5.999994
6 min block + rest,M3,Heat,attending,12,20,0.6,5.426105685
6 min block + rest,M3,Heat,lickbite,12,20,0.6,5.426105685
6 min block + rest,M3,Heat,guarding,13,20,0.65,5.426105685
6 min block + rest,M3,Heat,escape,14,20,0.7,5.426105685
6 min block + rest,M3,Heat,withdrawal,28,20,1.4,5.426105685
6 min block + rest,M3,Heat,flinch,23,20,1.15,5.426105685
