Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,pin prick,9108,303.5664
,2,1,pin prick,9453,315.0664
,3,1,pin prick,9546,318.1663
,4,1,pin prick,9659,321.9330
,5,1,pin prick,9675,322.4663
,6,1,pin prick,9737,324.5330
,7,1,pin prick,9834,327.7663
,8,1,pin prick,10843,361.3996
,9,1,pin prick,10998,366.5663
,10,1,pin prick,11064,368.7663
,11,1,pin prick,14006,466.8329
,12,1,pin prick,14022,467.3662
,13,1,pin prick,14118,470.5662
,14,1,pin prick,14156,471.8329
,15,1,pin prick,14243,474.7329
,16,1,pin prick,14664,488.7662
,17,1,pin prick,14746,491.4995
,18,1,pin prick,14821,493.9995
,19,1,pin prick,14848,494.8995
,20,1,pin prick,16275,542.4661
,21,1,pin prick,16361,545.3328
,22,1,pin prick,16465,548.7995
,23,1,pin prick,16506,550.1661
,24,2,Mild touch,21638,721.2326
,25,2,Mild touch,21666,722.1659
,26,2,Mild touch,21697,723.1993
,27,2,Mild touch,21795,726.4659
,28,2,Mild touch,21833,727.7326
,29,2,Mild touch,21902,730.0326
,30,2,Mild touch,22125,737.4659
,31,2,Mild touch,22450,748.2993
,32,2,Mild touch,23307,776.8659
,33,2,Mild touch,23472,782.3659
,34,2,Mild touch,23522,784.0325
,35,2,Mild touch,25382,846.0325
,36,2,Mild touch,25423,847.3992
,37,2,Mild touch,25486,849.4992
,38,2,Mild touch,25568,852.2325
,39,2,Mild touch,25653,855.0658
,40,2,Mild touch,25771,858.9991
,41,2,Mild touch,25869,862.2658
,42,2,Mild touch,28301,943.3324
,43,2,Mild touch,28366,945.4991
,44,2,Mild touch,28561,951.9990
,45,3,heat,31688,1056.2323
,46,3,heat,31746,1058.1656
,47,3,heat,32426,1080.8323
,48,3,heat,32492,1083.0323
,49,3,heat,32560,1085.2989
,50,3,heat,33049,1101.5989
,51,3,heat,33078,1102.5656
,52,3,heat,36825,1227.4654
,53,3,heat,36854,1228.4321
,54,3,heat,36884,1229.4321
,55,4,light,38311,1276.9987
,56,3,heat,38315,1277.1321
,57,4,light,38348,1278.2321
,58,3,heat,38358,1278.5654
,59,4,light,38391,1279.6654
,60,3,heat,38400,1279.9654
,61,4,light,42010,1400.2986
,62,4,light,42106,1403.4986
,63,4,light,42237,1407.8653
,64,4,light,42392,1413.0319
,65,4,light,42472,1415.6986
,66,4,light,42496,1416.4986
,67,4,light,42538,1417.8986
,68,4,light,42744,1424.7652
,69,4,light,42766,1425.4986
,70,4,light,42842,1428.0319
,71,4,light,42998,1433.2319
,72,4,light,43173,1439.0652
,73,4,light,45221,1507.3318
,74,4,light,45346,1511.4985
,75,4,light,45434,1514.4318
,76,4,light,45474,1515.7652
,77,4,light,45558,1518.5651
,78,4,light,45619,1520.5985
,79,4,light,45747,1524.8651
,80,4,light,45816,1527.1651
,81,4,light,49240,1641.2984
,82,4,light,49267,1642.1984
,83,4,light,49546,1651.4983
