Session,Delivery,Stim code,Stimulus,Frame,Time_s
1,1,1,Mild touch,9596,319.8330
1,2,1,Mild touch,9761,325.3330
1,3,1,Mild touch,10090,336.2997
1,4,1,Mild touch,10719,357.2663
1,5,1,Mild touch,11106,370.1663
1,6,1,Mild touch,11133,371.0663
1,7,1,Mild touch,11667,388.8663
1,8,1,Mild touch,11749,391.5996
1,9,1,Mild touch,12766,425.4996
1,10,1,Mild touch,12828,427.5662
1,11,1,Mild touch,12904,430.0996
1,12,1,Mild touch,12960,431.9662
1,13,1,Mild touch,13057,435.1996
1,14,1,Mild touch,13130,437.6329
1,15,1,Mild touch,13305,443.4662
1,16,1,Mild touch,13397,446.5329
1,17,1,Mild touch,13624,454.0995
1,18,1,Mild touch,13764,458.7662
1,19,1,Mild touch,13924,464.0995
1,20,1,Mild touch,13996,466.4995
1,21,1,Mild touch,14129,470.9329
1,22,1,Mild touch,16592,553.0328
1,23,1,Mild touch,16725,557.4661
1,24,1,Mild touch,16801,559.9994
1,25,1,Mild touch,16919,563.9328
1,26,1,Mild touch,16998,566.5661
1,27,2,Pin prick,19219,640.5994
1,28,2,Pin prick,19946,664.8327
1,29,2,Pin prick,20062,668.6993
1,30,2,Pin prick,20129,670.9327
1,31,2,Pin prick,21827,727.5326
1,32,2,Pin prick,21913,730.3993
1,33,2,Pin prick,22062,735.3659
1,34,2,Pin prick,23569,785.5992
1,35,2,Pin prick,23684,789.4325
1,36,2,Pin prick,23921,797.3325
1,37,2,Pin prick,24496,816.4992
1,38,2,Pin prick,24638,821.2325
1,39,2,Pin prick,25105,836.7992
1,40,2,Pin prick,26013,867.0658
1,41,2,Pin prick,26164,872.0991
1,42,2,Pin prick,28175,939.1324
1,43,3,Light,30917,1030.5323
1,44,3,Light,31130,1037.6323
1,45,3,Light,31178,1039.2323
1,46,3,Light,31380,1045.9656
1,47,3,Light,31554,1051.7656
1,48,3,Light,33299,1109.9322
1,49,3,Light,33564,1118.7655
1,50,3,Light,33614,1120.4322
1,51,3,Light,33925,1130.7989
1,52,3,Light,34104,1136.7655
1,53,3,Light,35490,1182.9655
1,54,3,Light,35669,1188.9321
1,55,3,Light,35812,1193.6988
1,56,3,Light,36276,1209.1655
1,57,3,Light,36364,1212.0988
1,58,3,Light,38493,1283.0654
1,59,3,Light,38636,1287.8320
1,60,3,Light,38715,1290.4654
1,61,3,Light,38791,1292.9987
1,62,3,Light,38930,1297.6320
1,63,3,Light,39104,1303.4320
1,64,3,Light,39211,1306.9987
1,65,4,heat,41687,1389.5319
1,66,4,heat,41803,1393.3986
1,67,4,heat,41861,1395.3319
1,68,4,heat,41970,1398.9653
1,69,4,heat,44273,1475.7319
1,70,4,heat,44322,1477.3652
1,71,4,heat,44426,1480.8319
1,72,4,heat,44982,1499.3652
1,73,4,heat,45041,1501.3318
1,74,4,heat,45100,1503.2985
1,75,4,heat,46081,1535.9985
1,76,4,heat,46234,1541.0985
1,77,4,heat,46346,1544.8318
1,78,4,heat,48269,1608.9317
1,79,4,heat,48368,1612.2317
1,80,4,heat,48417,1613.8651
1,81,4,heat,48477,1615.8651
1,82,4,heat,48571,1618.9984
1,83,4,heat,49091,1636.3317
1,84,4,heat,49139,1637.9317
1,85,4,heat,49198,1639.8984
1,86,4,heat,49250,1641.6317
1,87,4,heat,49405,1646.7984
