day,mouse,sex,stimulus,behaviour,window_s,isolated,clearance_s,responded
Day1 no drug,F3,F,Light touch,withdrawal,3.0,0,77.9,1
Day1 no drug,F3,F,Light touch,flinch,3.0,0,77.9,0
Day1 no drug,F3,F,Light touch,attending,10.0,1,77.9,0
Day1 no drug,F3,F,Light touch,lickbite,10.0,1,77.9,0
Day1 no drug,F3,F,Light touch,guarding,10.0,1,77.9,1
Day1 no drug,F3,F,Light touch,escape,10.0,1,77.9,1
Day1 no drug,F3,F,Light touch,withdrawal,3.0,0,3.8,0
Day1 no drug,F3,F,Light touch,flinch,3.0,0,3.8,0
Day1 no drug,F3,F,Light touch,withdrawal,3.0,0,0.73,1
Day1 no drug,F3,F,Light touch,flinch,3.0,0,0.73,1
Day1 no drug,F3,F,Light touch,withdrawal,3.0,0,1.27,1
Day1 no drug,F3,F,Light touch,flinch,3.0,0,1.27,1
Day1 no drug,F3,F,Light touch,withdrawal,3.0,0,98.93,1
Day1 no drug,F3,F,Light touch,flinch,3.0,0,98.93,1
Day1 no drug,F3,F,Light touch,attending,10.0,1,98.93,0
Day1 no drug,F3,F,Light touch,lickbite,10.0,1,98.93,0
Day1 no drug,F3,F,Light touch,guarding,10.0,1,98.93,0
Day1 no drug,F3,F,Light touch,escape,10.0,1,98.93,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,2.63,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,2.63,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,1.6,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,1.6,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,4.47,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,4.47,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,54.4,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,54.4,1
Day1 no drug,F3,F,Pin prick,attending,10.0,1,54.4,0
Day1 no drug,F3,F,Pin prick,lickbite,10.0,1,54.4,1
Day1 no drug,F3,F,Pin prick,guarding,10.0,1,54.4,1
Day1 no drug,F3,F,Pin prick,escape,10.0,1,54.4,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,1.8,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,1.8,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,0.83,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,0.83,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,1.7,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,1.7,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,66.5,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,66.5,0
Day1 no drug,F3,F,Pin prick,attending,10.0,1,66.5,1
Day1 no drug,F3,F,Pin prick,lickbite,10.0,1,66.5,0
Day1 no drug,F3,F,Pin prick,guarding,10.0,1,66.5,0
Day1 no drug,F3,F,Pin prick,escape,10.0,1,66.5,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,3.3,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,3.3,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,3.33,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,3.33,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,51.93,0
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,51.93,0
Day1 no drug,F3,F,Pin prick,attending,10.0,1,51.93,0
Day1 no drug,F3,F,Pin prick,lickbite,10.0,1,51.93,0
Day1 no drug,F3,F,Pin prick,guarding,10.0,1,51.93,1
Day1 no drug,F3,F,Pin prick,escape,10.0,1,51.93,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,2.57,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,2.57,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,2.13,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,2.13,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,0.3,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,0.3,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,1.3,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,1.3,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,7.07,0
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,7.07,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,0.5,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,0.5,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,0.37,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,0.37,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,25.57,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,25.57,0
Day1 no drug,F3,F,Pin prick,attending,10.0,1,25.57,0
Day1 no drug,F3,F,Pin prick,lickbite,10.0,1,25.57,0
Day1 no drug,F3,F,Pin prick,guarding,10.0,1,25.57,1
Day1 no drug,F3,F,Pin prick,escape,10.0,1,25.57,1
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,1.73,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,1.73,0
Day1 no drug,F3,F,Pin prick,withdrawal,3.0,0,122.23,1
Day1 no drug,F3,F,Pin prick,flinch,3.0,0,122.23,0
Day1 no drug,F3,F,Pin prick,attending,10.0,1,122.23,0
Day1 no drug,F3,F,Pin prick,lickbite,10.0,1,122.23,0
Day1 no drug,F3,F,Pin prick,guarding,10.0,1,122.23,0
Day1 no drug,F3,F,Pin prick,escape,10.0,1,122.23,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,6.17,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,6.17,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,0.9,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,0.9,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,9.57,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,9.57,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,1.63,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,1.63,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,2.0,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,2.0,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,90.33,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,90.33,0
Day1 no drug,F3,F,Mild touch,attending,10.0,1,90.33,1
Day1 no drug,F3,F,Mild touch,lickbite,10.0,1,90.33,0
Day1 no drug,F3,F,Mild touch,guarding,10.0,1,90.33,0
Day1 no drug,F3,F,Mild touch,escape,10.0,1,90.33,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,2.4,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,2.4,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,1.43,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,1.43,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,8.2,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,8.2,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,11.33,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,11.33,0
Day1 no drug,F3,F,Mild touch,attending,10.0,1,11.33,0
Day1 no drug,F3,F,Mild touch,lickbite,10.0,1,11.33,0
Day1 no drug,F3,F,Mild touch,guarding,10.0,1,11.33,0
Day1 no drug,F3,F,Mild touch,escape,10.0,1,11.33,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,3.23,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,3.23,0
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,3.27,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,3.27,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,3.93,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,3.93,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,4.4,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,4.4,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,78.1,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,78.1,1
Day1 no drug,F3,F,Mild touch,attending,10.0,1,78.1,1
Day1 no drug,F3,F,Mild touch,lickbite,10.0,1,78.1,0
Day1 no drug,F3,F,Mild touch,guarding,10.0,1,78.1,0
Day1 no drug,F3,F,Mild touch,escape,10.0,1,78.1,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,2.77,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,2.77,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,1.33,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,1.33,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,7.57,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,7.57,1
Day1 no drug,F3,F,Mild touch,withdrawal,3.0,0,999.0,1
Day1 no drug,F3,F,Mild touch,flinch,3.0,0,999.0,1
Day1 no drug,F3,F,Mild touch,attending,10.0,1,999.0,1
Day1 no drug,F3,F,Mild touch,lickbite,10.0,1,999.0,1
Day1 no drug,F3,F,Mild touch,guarding,10.0,1,999.0,1
Day1 no drug,F3,F,Mild touch,escape,10.0,1,999.0,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,6.9,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,6.9,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,2.47,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,2.47,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,2.5,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,2.5,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,3.03,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,3.03,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.47,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.47,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.63,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.63,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.2,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.2,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,77.57,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,77.57,1
Day1 no drug,M1,M,Mild touch,attending,10.0,1,77.57,1
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,77.57,0
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,77.57,0
Day1 no drug,M1,M,Mild touch,escape,10.0,1,77.57,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,3.97,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,3.97,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,8.0,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,8.0,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,8.6,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,8.6,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,5.13,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,5.13,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.17,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.17,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,11.63,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,11.63,1
Day1 no drug,M1,M,Mild touch,attending,10.0,1,11.63,0
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,11.63,0
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,11.63,1
Day1 no drug,M1,M,Mild touch,escape,10.0,1,11.63,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,2.0,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,2.0,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,0.93,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,0.93,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,40.13,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,40.13,0
Day1 no drug,M1,M,Mild touch,attending,10.0,1,40.13,0
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,40.13,0
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,40.13,1
Day1 no drug,M1,M,Mild touch,escape,10.0,1,40.13,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.77,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.77,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.23,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.23,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,78.17,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,78.17,1
Day1 no drug,M1,M,Mild touch,attending,10.0,1,78.17,1
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,78.17,0
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,78.17,1
Day1 no drug,M1,M,Mild touch,escape,10.0,1,78.17,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,2.27,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,2.27,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.6,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.6,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,10.87,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,10.87,1
Day1 no drug,M1,M,Mild touch,attending,10.0,1,10.87,1
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,10.87,0
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,10.87,0
Day1 no drug,M1,M,Mild touch,escape,10.0,1,10.87,0
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.17,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.17,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,1.0,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,1.0,1
Day1 no drug,M1,M,Mild touch,withdrawal,3.0,0,104.17,1
Day1 no drug,M1,M,Mild touch,flinch,3.0,0,104.17,1
Day1 no drug,M1,M,Mild touch,attending,10.0,1,104.17,1
Day1 no drug,M1,M,Mild touch,lickbite,10.0,1,104.17,1
Day1 no drug,M1,M,Mild touch,guarding,10.0,1,104.17,0
Day1 no drug,M1,M,Mild touch,escape,10.0,1,104.17,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,45.77,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,45.77,1
Day1 no drug,M1,M,Light touch,attending,10.0,1,45.77,0
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,45.77,0
Day1 no drug,M1,M,Light touch,guarding,10.0,1,45.77,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,45.77,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,5.8,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,5.8,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,2.37,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,2.37,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,2.4,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,2.4,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.93,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.93,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.8,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.8,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,11.5,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,11.5,1
Day1 no drug,M1,M,Light touch,attending,10.0,1,11.5,0
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,11.5,0
Day1 no drug,M1,M,Light touch,guarding,10.0,1,11.5,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,11.5,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,0.97,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,0.97,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,46.1,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,46.1,0
Day1 no drug,M1,M,Light touch,attending,10.0,1,46.1,0
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,46.1,0
Day1 no drug,M1,M,Light touch,guarding,10.0,1,46.1,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,46.1,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.2,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.2,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,3.23,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,3.23,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,6.67,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,6.67,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,0.83,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,0.83,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.67,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.67,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,3.7,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,3.7,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,29.73,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,29.73,1
Day1 no drug,M1,M,Light touch,attending,10.0,1,29.73,0
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,29.73,0
Day1 no drug,M1,M,Light touch,guarding,10.0,1,29.73,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,29.73,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,3.73,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,3.73,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.13,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.13,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.23,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.23,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,2.3,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,2.3,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.7,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.7,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.47,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.47,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,50.93,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,50.93,1
Day1 no drug,M1,M,Light touch,attending,10.0,1,50.93,1
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,50.93,1
Day1 no drug,M1,M,Light touch,guarding,10.0,1,50.93,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,50.93,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,2.23,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,2.23,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,1.7,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,1.7,1
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,5.27,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,5.27,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,4.03,0
Day1 no drug,M1,M,Light touch,flinch,3.0,0,4.03,0
Day1 no drug,M1,M,Light touch,withdrawal,3.0,0,111.27,1
Day1 no drug,M1,M,Light touch,flinch,3.0,0,111.27,1
Day1 no drug,M1,M,Light touch,attending,10.0,1,111.27,1
Day1 no drug,M1,M,Light touch,lickbite,10.0,1,111.27,0
Day1 no drug,M1,M,Light touch,guarding,10.0,1,111.27,0
Day1 no drug,M1,M,Light touch,escape,10.0,1,111.27,0
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,59.7,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,59.7,1
Day1 no drug,M1,M,Heat,attending,10.0,1,59.7,0
Day1 no drug,M1,M,Heat,lickbite,10.0,1,59.7,0
Day1 no drug,M1,M,Heat,guarding,10.0,1,59.7,0
Day1 no drug,M1,M,Heat,escape,10.0,1,59.7,0
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,1.63,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,1.63,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,1.37,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,1.37,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,76.33,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,76.33,1
Day1 no drug,M1,M,Heat,attending,10.0,1,76.33,1
Day1 no drug,M1,M,Heat,lickbite,10.0,1,76.33,1
Day1 no drug,M1,M,Heat,guarding,10.0,1,76.33,1
Day1 no drug,M1,M,Heat,escape,10.0,1,76.33,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,2.63,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,2.63,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.53,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.53,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.93,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.93,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.63,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.63,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.13,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.13,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.3,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.3,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.77,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.77,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,98.4,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,98.4,1
Day1 no drug,M1,M,Heat,attending,10.0,1,98.4,1
Day1 no drug,M1,M,Heat,lickbite,10.0,1,98.4,1
Day1 no drug,M1,M,Heat,guarding,10.0,1,98.4,1
Day1 no drug,M1,M,Heat,escape,10.0,1,98.4,0
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,5.23,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,5.23,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,2.47,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,2.47,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.47,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.47,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.5,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.5,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,27.1,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,27.1,1
Day1 no drug,M1,M,Heat,attending,10.0,1,27.1,0
Day1 no drug,M1,M,Heat,lickbite,10.0,1,27.1,0
Day1 no drug,M1,M,Heat,guarding,10.0,1,27.1,0
Day1 no drug,M1,M,Heat,escape,10.0,1,27.1,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,1.0,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,1.0,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.9,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.9,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,1.43,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,1.43,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,0.4,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,0.4,1
Day1 no drug,M1,M,Heat,withdrawal,3.0,0,74.07,1
Day1 no drug,M1,M,Heat,flinch,3.0,0,74.07,1
Day1 no drug,M1,M,Heat,attending,10.0,1,74.07,1
Day1 no drug,M1,M,Heat,lickbite,10.0,1,74.07,1
Day1 no drug,M1,M,Heat,guarding,10.0,1,74.07,1
Day1 no drug,M1,M,Heat,escape,10.0,1,74.07,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.7,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.7,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,3.73,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,3.73,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,115.07,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,115.07,1
Day1 no drug,M1,M,Pin prick,attending,10.0,1,115.07,1
Day1 no drug,M1,M,Pin prick,lickbite,10.0,1,115.07,0
Day1 no drug,M1,M,Pin prick,guarding,10.0,1,115.07,1
Day1 no drug,M1,M,Pin prick,escape,10.0,1,115.07,0
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.3,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.3,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.9,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.9,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.37,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.37,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.8,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.8,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,2.6,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,2.6,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.07,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.07,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,0.6,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,0.6,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,2.53,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,2.53,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,2.3,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,2.3,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,0.6,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,0.6,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,0.53,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,0.53,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,6.3,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,6.3,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,1.93,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,1.93,1
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,102.7,0
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,102.7,0
Day1 no drug,M1,M,Pin prick,attending,10.0,1,102.7,0
Day1 no drug,M1,M,Pin prick,lickbite,10.0,1,102.7,0
Day1 no drug,M1,M,Pin prick,guarding,10.0,1,102.7,1
Day1 no drug,M1,M,Pin prick,escape,10.0,1,102.7,0
Day1 no drug,M1,M,Pin prick,withdrawal,3.0,0,2.53,1
Day1 no drug,M1,M,Pin prick,flinch,3.0,0,2.53,1
