day,mouse,stimulus,behaviour,n_bouts,n_del,n_per_del,dur_min
Day1 no drug,M1,Light touch,lickbite,7,28,0.25,4.999994999999999
Day1 no drug,M1,Light touch,guarding,2,28,0.07142857142857142,4.999994999999999
Day1 no drug,M1,Light touch,escape,16,28,0.5714285714285714,4.999994999999999
Day1 no drug,M1,Light touch,withdrawal,21,28,0.75,4.999994999999999
Day1 no drug,M1,Light touch,flinch,28,28,1.0,4.999994999999999
Day1 no drug,M1,Heat,attending,15,22,0.6818181818181818,4.999994999999999
Day1 no drug,M1,Heat,lickbite,9,22,0.4090909090909091,4.999994999999999
Day1 no drug,M1,Heat,guarding,9,22,0.4090909090909091,4.999994999999999
Day1 no drug,M1,Heat,escape,11,22,0.5,4.999994999999999
Day1 no drug,M1,Heat,withdrawal,18,22,0.8181818181818182,4.999994999999999
Day1 no drug,M1,Heat,flinch,60,22,2.727272727272727,4.999994999999999
Day1 no drug,M1,Pin prick,attending,8,24,0.3333333333333333,4.999994999999999
Day1 no drug,M1,Pin prick,lickbite,0,24,0.0,4.999994999999999
Day1 no drug,M1,Pin prick,guarding,9,24,0.375,4.999994999999999
Day1 no drug,M1,Pin prick,escape,7,24,0.2916666666666667,4.999994999999999
Day1 no drug,M1,Pin prick,withdrawal,27,24,1.125,4.999994999999999
Day1 no drug,M1,Pin prick,flinch,38,24,1.5833333333333333,4.999994999999999
Day1 no drug,M2,Pin prick,attending,11,23,0.4782608695652174,4.999994999999999
Day1 no drug,M2,Pin prick,lickbite,6,23,0.2608695652173913,4.999994999999999
Day1 no drug,M2,Pin prick,guarding,4,23,0.17391304347826086,4.999994999999999
Day1 no drug,M2,Pin prick,escape,23,23,1.0,4.999994999999999
Day1 no drug,M2,Pin prick,withdrawal,31,23,1.3478260869565217,4.999994999999999
Day1 no drug,M2,Pin prick,flinch,33,23,1.434782608695652,4.999994999999999
Day1 no drug,M2,Mild touch,attending,9,21,0.42857142857142855,4.999994999999999
Day1 no drug,M2,Mild touch,lickbite,5,21,0.23809523809523808,4.999994999999999
Day1 no drug,M2,Mild touch,guarding,6,21,0.2857142857142857,4.999994999999999
Day1 no drug,M2,Mild touch,escape,16,21,0.7619047619047619,4.999994999999999
Day1 no drug,M2,Mild touch,withdrawal,22,21,1.0476190476190477,4.999994999999999
Day1 no drug,M2,Mild touch,flinch,22,21,1.0476190476190477,4.999994999999999
Day1 no drug,M2,Heat,attending,9,16,0.5625,4.999994999999999
Day1 no drug,M2,Heat,lickbite,7,16,0.4375,4.999994999999999
Day1 no drug,M2,Heat,guarding,10,16,0.625,4.999994999999999
Day1 no drug,M2,Heat,escape,15,16,0.9375,4.999994999999999
Day1 no drug,M2,Heat,withdrawal,29,16,1.8125,4.999994999999999
Day1 no drug,M2,Heat,flinch,47,16,2.9375,4.999994999999999
Day1 no drug,M2,Light touch,attending,8,23,0.34782608695652173,4.86332847
Day1 no drug,M2,Light touch,lickbite,1,23,0.043478260869565216,4.86332847
Day1 no drug,M2,Light touch,guarding,1,23,0.043478260869565216,4.86332847
Day1 no drug,M2,Light touch,escape,9,23,0.391304347826087,4.86332847
Day1 no drug,M2,Light touch,withdrawal,17,23,0.7391304347826086,4.86332847
Day1 no drug,M2,Light touch,flinch,8,23,0.34782608695652173,4.86332847
Day1 no drug,M3,Pin prick,attending,13,22,0.5909090909090909,4.999994999999999
Day1 no drug,M3,Pin prick,lickbite,5,22,0.22727272727272727,4.999994999999999
Day1 no drug,M3,Pin prick,guarding,2,22,0.09090909090909091,4.999994999999999
Day1 no drug,M3,Pin prick,escape,11,22,0.5,4.999994999999999
Day1 no drug,M3,Pin prick,withdrawal,23,22,1.0454545454545454,4.999994999999999
Day1 no drug,M3,Pin prick,flinch,11,22,0.5,4.999994999999999
Day1 no drug,M3,Mild touch,attending,10,24,0.4166666666666667,4.999994999999999
Day1 no drug,M3,Mild touch,lickbite,3,24,0.125,4.999994999999999
Day1 no drug,M3,Mild touch,guarding,7,24,0.2916666666666667,4.999994999999999
Day1 no drug,M3,Mild touch,escape,13,24,0.5416666666666666,4.999994999999999
Day1 no drug,M3,Mild touch,withdrawal,36,24,1.5,4.999994999999999
Day1 no drug,M3,Mild touch,flinch,10,24,0.4166666666666667,4.999994999999999
Day1 no drug,M3,Light touch,attending,8,25,0.32,4.999994999999999
Day1 no drug,M3,Light touch,lickbite,1,25,0.04,4.999994999999999
Day1 no drug,M3,Light touch,guarding,5,25,0.2,4.999994999999999
Day1 no drug,M3,Light touch,escape,5,25,0.2,4.999994999999999
Day1 no drug,M3,Light touch,withdrawal,26,25,1.04,4.999994999999999
Day1 no drug,M3,Light touch,flinch,10,25,0.4,4.999994999999999
Day1 no drug,M3,Heat,attending,12,20,0.6,4.999994999999999
Day1 no drug,M3,Heat,lickbite,12,20,0.6,4.999994999999999
Day1 no drug,M3,Heat,guarding,13,20,0.65,4.999994999999999
Day1 no drug,M3,Heat,escape,14,20,0.7,4.999994999999999
Day1 no drug,M3,Heat,withdrawal,28,20,1.4,4.999994999999999
Day1 no drug,M3,Heat,flinch,23,20,1.15,4.999994999999999
Day2 drug,F1,Pin prick,attending,0,17,0.0,4.999994999999999
Day2 drug,F1,Pin prick,lickbite,1,17,0.058823529411764705,4.999994999999999
Day2 drug,F1,Pin prick,guarding,1,17,0.058823529411764705,4.999994999999999
Day2 drug,F1,Pin prick,escape,3,17,0.17647058823529413,4.999994999999999
Day2 drug,F1,Pin prick,withdrawal,16,17,0.9411764705882353,4.999994999999999
Day2 drug,F1,Pin prick,flinch,4,17,0.23529411764705882,4.999994999999999
Day2 drug,F1,Heat,attending,0,15,0.0,4.999994999999999
Day2 drug,F1,Heat,lickbite,1,15,0.06666666666666667,4.999994999999999
Day2 drug,F1,Heat,guarding,5,15,0.3333333333333333,4.999994999999999
Day2 drug,F1,Heat,escape,3,15,0.2,4.999994999999999
Day2 drug,F1,Heat,withdrawal,11,15,0.7333333333333333,4.999994999999999
Day2 drug,F1,Heat,flinch,1,15,0.06666666666666667,4.999994999999999
Day2 drug,F1,Mild touch,attending,0,13,0.0,4.999994999999999
Day2 drug,F1,Mild touch,lickbite,7,13,0.5384615384615384,4.999994999999999
Day2 drug,F1,Mild touch,guarding,1,13,0.07692307692307693,4.999994999999999
Day2 drug,F1,Mild touch,escape,0,13,0.0,4.999994999999999
Day2 drug,F1,Mild touch,withdrawal,7,13,0.5384615384615384,4.999994999999999
Day2 drug,F1,Mild touch,flinch,7,13,0.5384615384615384,4.999994999999999
Day2 drug,F1,Light touch,attending,3,13,0.23076923076923078,4.906106205
Day2 drug,F1,Light touch,lickbite,3,13,0.23076923076923078,4.906106205
Day2 drug,F1,Light touch,guarding,5,13,0.38461538461538464,4.906106205
Day2 drug,F1,Light touch,escape,0,13,0.0,4.906106205
Day2 drug,F1,Light touch,withdrawal,5,13,0.38461538461538464,4.906106205
Day2 drug,F1,Light touch,flinch,1,13,0.07692307692307693,4.906106205
Day2 drug,F2,Pin prick,attending,2,12,0.16666666666666666,4.999994999999999
Day2 drug,F2,Pin prick,lickbite,1,12,0.08333333333333333,4.999994999999999
Day2 drug,F2,Pin prick,guarding,2,12,0.16666666666666666,4.999994999999999
Day2 drug,F2,Pin prick,escape,0,12,0.0,4.999994999999999
Day2 drug,F2,Pin prick,withdrawal,12,12,1.0,4.999994999999999
Day2 drug,F2,Pin prick,flinch,10,12,0.8333333333333334,4.999994999999999
Day2 drug,F2,Heat,attending,4,13,0.3076923076923077,4.999994999999999
Day2 drug,F2,Heat,lickbite,4,13,0.3076923076923077,4.999994999999999
Day2 drug,F2,Heat,guarding,4,13,0.3076923076923077,4.999994999999999
Day2 drug,F2,Heat,escape,1,13,0.07692307692307693,4.999994999999999
Day2 drug,F2,Heat,withdrawal,14,13,1.0769230769230769,4.999994999999999
Day2 drug,F2,Heat,flinch,12,13,0.9230769230769231,4.999994999999999
Day2 drug,F2,Light touch,attending,0,18,0.0,4.999994999999999
Day2 drug,F2,Light touch,lickbite,0,18,0.0,4.999994999999999
Day2 drug,F2,Light touch,guarding,0,18,0.0,4.999994999999999
Day2 drug,F2,Light touch,escape,0,18,0.0,4.999994999999999
Day2 drug,F2,Light touch,withdrawal,8,18,0.4444444444444444,4.999994999999999
Day2 drug,F2,Light touch,flinch,0,18,0.0,4.999994999999999
Day2 drug,F2,Mild touch,attending,2,14,0.14285714285714285,4.90332843
Day2 drug,F2,Mild touch,lickbite,1,14,0.07142857142857142,4.90332843
Day2 drug,F2,Mild touch,guarding,3,14,0.21428571428571427,4.90332843
Day2 drug,F2,Mild touch,escape,0,14,0.0,4.90332843
Day2 drug,F2,Mild touch,withdrawal,9,14,0.6428571428571429,4.90332843
Day2 drug,F2,Mild touch,flinch,3,14,0.21428571428571427,4.90332843
Day2 drug,F3,Light touch,attending,0,17,0.0,4.999994999999999
Day2 drug,F3,Light touch,lickbite,0,17,0.0,4.999994999999999
Day2 drug,F3,Light touch,guarding,1,17,0.058823529411764705,4.999994999999999
Day2 drug,F3,Light touch,escape,1,17,0.058823529411764705,4.999994999999999
Day2 drug,F3,Light touch,withdrawal,6,17,0.35294117647058826,4.999994999999999
Day2 drug,F3,Light touch,flinch,0,17,0.0,4.999994999999999
Day2 drug,F3,Mild touch,attending,0,18,0.0,4.999994999999999
Day2 drug,F3,Mild touch,lickbite,0,18,0.0,4.999994999999999
Day2 drug,F3,Mild touch,guarding,0,18,0.0,4.999994999999999
Day2 drug,F3,Mild touch,escape,2,18,0.1111111111111111,4.999994999999999
Day2 drug,F3,Mild touch,withdrawal,8,18,0.4444444444444444,4.999994999999999
Day2 drug,F3,Mild touch,flinch,4,18,0.2222222222222222,4.999994999999999
Day2 drug,F3,Pin prick,attending,0,19,0.0,4.999994999999999
Day2 drug,F3,Pin prick,lickbite,0,19,0.0,4.999994999999999
Day2 drug,F3,Pin prick,guarding,3,19,0.15789473684210525,4.999994999999999
Day2 drug,F3,Pin prick,escape,2,19,0.10526315789473684,4.999994999999999
Day2 drug,F3,Pin prick,withdrawal,17,19,0.8947368421052632,4.999994999999999
Day2 drug,F3,Pin prick,flinch,16,19,0.8421052631578947,4.999994999999999
Day2 drug,F3,Heat,attending,7,14,0.5,4.3444401
Day2 drug,F3,Heat,lickbite,1,14,0.07142857142857142,4.3444401
Day2 drug,F3,Heat,guarding,2,14,0.14285714285714285,4.3444401
Day2 drug,F3,Heat,escape,3,14,0.21428571428571427,4.3444401
Day2 drug,F3,Heat,withdrawal,14,14,1.0,4.3444401
Day2 drug,F3,Heat,flinch,16,14,1.1428571428571428,4.3444401
Day2 drug,M1,Light touch,attending,1,12,0.08333333333333333,4.999994999999999
Day2 drug,M1,Light touch,lickbite,0,12,0.0,4.999994999999999
Day2 drug,M1,Light touch,guarding,0,12,0.0,4.999994999999999
Day2 drug,M1,Light touch,escape,1,12,0.08333333333333333,4.999994999999999
Day2 drug,M1,Light touch,withdrawal,2,12,0.16666666666666666,4.999994999999999
Day2 drug,M1,Light touch,flinch,0,12,0.0,4.999994999999999
Day2 drug,M1,Pin prick,attending,3,16,0.1875,4.999994999999999
Day2 drug,M1,Pin prick,lickbite,0,16,0.0,4.999994999999999
Day2 drug,M1,Pin prick,guarding,0,16,0.0,4.999994999999999
Day2 drug,M1,Pin prick,escape,2,16,0.125,4.999994999999999
Day2 drug,M1,Pin prick,withdrawal,14,16,0.875,4.999994999999999
Day2 drug,M1,Pin prick,flinch,9,16,0.5625,4.999994999999999
Day2 drug,M1,Heat,attending,0,19,0.0,4.999994999999999
Day2 drug,M1,Heat,lickbite,1,19,0.05263157894736842,4.999994999999999
Day2 drug,M1,Heat,guarding,1,19,0.05263157894736842,4.999994999999999
Day2 drug,M1,Heat,escape,1,19,0.05263157894736842,4.999994999999999
Day2 drug,M1,Heat,withdrawal,13,19,0.6842105263157895,4.999994999999999
Day2 drug,M1,Heat,flinch,8,19,0.42105263157894735,4.999994999999999
Day2 drug,M1,Mild touch,attending,0,17,0.0,4.999994999999999
Day2 drug,M1,Mild touch,lickbite,0,17,0.0,4.999994999999999
Day2 drug,M1,Mild touch,guarding,0,17,0.0,4.999994999999999
Day2 drug,M1,Mild touch,escape,1,17,0.058823529411764705,4.999994999999999
Day2 drug,M1,Mild touch,withdrawal,9,17,0.5294117647058824,4.999994999999999
Day2 drug,M1,Mild touch,flinch,1,17,0.058823529411764705,4.999994999999999
Day2 drug,M2,Heat,attending,2,19,0.10526315789473684,4.999994999999999
Day2 drug,M2,Heat,lickbite,0,19,0.0,4.999994999999999
Day2 drug,M2,Heat,guarding,0,19,0.0,4.999994999999999
Day2 drug,M2,Heat,escape,3,19,0.15789473684210525,4.999994999999999
Day2 drug,M2,Heat,withdrawal,10,19,0.5263157894736842,4.999994999999999
Day2 drug,M2,Heat,flinch,6,19,0.3157894736842105,4.999994999999999
Day2 drug,M2,Pin prick,attending,5,17,0.29411764705882354,4.999994999999999
Day2 drug,M2,Pin prick,lickbite,1,17,0.058823529411764705,4.999994999999999
Day2 drug,M2,Pin prick,guarding,1,17,0.058823529411764705,4.999994999999999
Day2 drug,M2,Pin prick,escape,3,17,0.17647058823529413,4.999994999999999
Day2 drug,M2,Pin prick,withdrawal,12,17,0.7058823529411765,4.999994999999999
Day2 drug,M2,Pin prick,flinch,3,17,0.17647058823529413,4.999994999999999
Day2 drug,M2,Mild touch,attending,1,15,0.06666666666666667,4.999994999999999
Day2 drug,M2,Mild touch,lickbite,0,15,0.0,4.999994999999999
Day2 drug,M2,Mild touch,guarding,1,15,0.06666666666666667,4.999994999999999
Day2 drug,M2,Mild touch,escape,2,15,0.13333333333333333,4.999994999999999
Day2 drug,M2,Mild touch,withdrawal,9,15,0.6,4.999994999999999
Day2 drug,M2,Mild touch,flinch,2,15,0.13333333333333333,4.999994999999999
Day2 drug,M2,Light touch,attending,2,19,0.10526315789473684,4.999994999999999
Day2 drug,M2,Light touch,lickbite,0,19,0.0,4.999994999999999
Day2 drug,M2,Light touch,guarding,0,19,0.0,4.999994999999999
Day2 drug,M2,Light touch,escape,6,19,0.3157894736842105,4.999994999999999
Day2 drug,M2,Light touch,withdrawal,8,19,0.42105263157894735,4.999994999999999
Day2 drug,M2,Light touch,flinch,4,19,0.21052631578947367,4.999994999999999
Day2 drug,M3,Light touch,attending,3,17,0.17647058823529413,4.999994999999999
Day2 drug,M3,Light touch,lickbite,0,17,0.0,4.999994999999999
Day2 drug,M3,Light touch,guarding,0,17,0.0,4.999994999999999
Day2 drug,M3,Light touch,escape,3,17,0.17647058823529413,4.999994999999999
Day2 drug,M3,Light touch,withdrawal,11,17,0.6470588235294118,4.999994999999999
Day2 drug,M3,Light touch,flinch,5,17,0.29411764705882354,4.999994999999999
Day2 drug,M3,Mild touch,attending,3,17,0.17647058823529413,4.999994999999999
Day2 drug,M3,Mild touch,lickbite,0,17,0.0,4.999994999999999
Day2 drug,M3,Mild touch,guarding,0,17,0.0,4.999994999999999
Day2 drug,M3,Mild touch,escape,2,17,0.11764705882352941,4.999994999999999
Day2 drug,M3,Mild touch,withdrawal,13,17,0.7647058823529411,4.999994999999999
Day2 drug,M3,Mild touch,flinch,8,17,0.47058823529411764,4.999994999999999
Day2 drug,M3,Heat,attending,7,21,0.3333333333333333,4.999994999999999
Day2 drug,M3,Heat,lickbite,8,21,0.38095238095238093,4.999994999999999
Day2 drug,M3,Heat,guarding,9,21,0.42857142857142855,4.999994999999999
Day2 drug,M3,Heat,escape,8,21,0.38095238095238093,4.999994999999999
Day2 drug,M3,Heat,withdrawal,41,21,1.9523809523809523,4.999994999999999
Day2 drug,M3,Heat,flinch,29,21,1.380952380952381,4.999994999999999
Day2 drug,M3,Pin prick,attending,6,16,0.375,4.673328659999999
Day2 drug,M3,Pin prick,lickbite,1,16,0.0625,4.673328659999999
Day2 drug,M3,Pin prick,guarding,3,16,0.1875,4.673328659999999
Day2 drug,M3,Pin prick,escape,1,16,0.0625,4.673328659999999
Day2 drug,M3,Pin prick,withdrawal,13,16,0.8125,4.673328659999999
Day2 drug,M3,Pin prick,flinch,17,16,1.0625,4.673328659999999
