day,mouse,stimulus,behaviour,n_events,n_deliveries
Day 1 no drug,M3,Light touch,lickbite,1,25
Day 1 no drug,M3,Light touch,guarding,5,25
Day 1 no drug,M3,Light touch,escape,5,25
Day 1 no drug,M3,Heat,withdrawal,28,20
Day 1 no drug,M3,Heat,flinch,23,20
Day 1 no drug,M3,Heat,attending,12,20
Day 1 no drug,M3,Heat,lickbite,12,20
Day 1 no drug,M3,Heat,guarding,13,20
Day 1 no drug,M3,Heat,escape,14,20
Day 2 drug,F1,Pin prick,withdrawal,16,17
Day 2 drug,F1,Pin prick,flinch,4,17
Day 2 drug,F1,Pin prick,attending,0,17
Day 2 drug,F1,Pin prick,lickbite,1,17
Day 2 drug,F1,Pin prick,guarding,1,17
Day 2 drug,F1,Pin prick,escape,1,17
Day 2 drug,F1,Heat,withdrawal,11,15
Day 2 drug,F1,Heat,flinch,1,15
Day 2 drug,F1,Heat,attending,0,15
Day 2 drug,F1,Heat,lickbite,1,15
Day 2 drug,F1,Heat,guarding,5,15
Day 2 drug,F1,Heat,escape,3,15
Day 2 drug,F1,Mild touch,withdrawal,7,13
Day 2 drug,F1,Mild touch,flinch,7,13
Day 2 drug,F1,Mild touch,attending,0,13
Day 2 drug,F1,Mild touch,lickbite,7,13
Day 2 drug,F1,Mild touch,guarding,1,13
Day 2 drug,F1,Mild touch,escape,0,13
Day 2 drug,F1,Light touch,withdrawal,5,13
Day 2 drug,F1,Light touch,flinch,1,13
Day 2 drug,F1,Light touch,attending,3,13
Day 2 drug,F1,Light touch,lickbite,3,13
Day 2 drug,F1,Light touch,guarding,5,13
Day 2 drug,F1,Light touch,escape,0,13
Day 2 drug,F2,Pin prick,withdrawal,12,12
Day 2 drug,F2,Pin prick,flinch,10,12
Day 2 drug,F2,Pin prick,attending,2,12
Day 2 drug,F2,Pin prick,lickbite,1,12
Day 2 drug,F2,Pin prick,guarding,2,12
Day 2 drug,F2,Pin prick,escape,0,12
Day 2 drug,F2,Heat,withdrawal,14,13
Day 2 drug,F2,Heat,flinch,12,13
Day 2 drug,F2,Heat,attending,4,13
Day 2 drug,F2,Heat,lickbite,4,13
Day 2 drug,F2,Heat,guarding,4,13
Day 2 drug,F2,Heat,escape,1,13
Day 2 drug,F2,Light touch,withdrawal,8,18
Day 2 drug,F2,Light touch,flinch,0,18
Day 2 drug,F2,Light touch,attending,0,18
Day 2 drug,F2,Light touch,lickbite,0,18
Day 2 drug,F2,Light touch,guarding,0,18
Day 2 drug,F2,Light touch,escape,0,18
Day 2 drug,F2,Mild touch,withdrawal,9,14
Day 2 drug,F2,Mild touch,flinch,3,14
Day 2 drug,F2,Mild touch,attending,2,14
Day 2 drug,F2,Mild touch,lickbite,1,14
Day 2 drug,F2,Mild touch,guarding,3,14
Day 2 drug,F2,Mild touch,escape,0,14
Day 2 drug,F3,Light touch,withdrawal,6,17
Day 2 drug,F3,Light touch,flinch,0,17
Day 2 drug,F3,Light touch,attending,0,17
Day 2 drug,F3,Light touch,lickbite,0,17
Day 2 drug,F3,Light touch,guarding,1,17
Day 2 drug,F3,Light touch,escape,1,17
Day 2 drug,F3,Mild touch,withdrawal,8,18
Day 2 drug,F3,Mild touch,flinch,4,18
Day 2 drug,F3,Mild touch,attending,0,18
Day 2 drug,F3,Mild touch,lickbite,0,18
Day 2 drug,F3,Mild touch,guarding,0,18
Day 2 drug,F3,Mild touch,escape,2,18
Day 2 drug,F3,Pin prick,withdrawal,17,19
Day 2 drug,F3,Pin prick,flinch,16,19
Day 2 drug,F3,Pin prick,attending,0,19
Day 2 drug,F3,Pin prick,lickbite,0,19
Day 2 drug,F3,Pin prick,guarding,3,19
Day 2 drug,F3,Pin prick,escape,2,19
Day 2 drug,F3,Heat,withdrawal,14,14
Day 2 drug,F3,Heat,flinch,16,14
Day 2 drug,F3,Heat,attending,7,14
Day 2 drug,F3,Heat,lickbite,1,14
Day 2 drug,F3,Heat,guarding,2,14
Day 2 drug,F3,Heat,escape,3,14
Day 2 drug,M1,Light touch,withdrawal,2,12
Day 2 drug,M1,Light touch,flinch,0,12
Day 2 drug,M1,Light touch,attending,1,12
Day 2 drug,M1,Light touch,lickbite,0,12
Day 2 drug,M1,Light touch,guarding,0,12
Day 2 drug,M1,Light touch,escape,1,12
Day 2 drug,M1,Pin prick,withdrawal,14,16
Day 2 drug,M1,Pin prick,flinch,9,16
Day 2 drug,M1,Pin prick,attending,3,16
Day 2 drug,M1,Pin prick,lickbite,0,16
Day 2 drug,M1,Pin prick,guarding,0,16
Day 2 drug,M1,Pin prick,escape,2,16
Day 2 drug,M1,Heat,withdrawal,13,19
Day 2 drug,M1,Heat,flinch,8,19
Day 2 drug,M1,Heat,attending,0,19
Day 2 drug,M1,Heat,lickbite,1,19
Day 2 drug,M1,Heat,guarding,1,19
