day,mouse,sex,stimulus,behaviour,n_events,n_deliveries
Day2 drug,F3,F,Light touch,guarding,1,17
Day2 drug,F3,F,Light touch,escape,1,17
Day2 drug,F3,F,Mild touch,withdrawal,8,18
Day2 drug,F3,F,Mild touch,flinch,4,18
Day2 drug,F3,F,Mild touch,attending,0,18
Day2 drug,F3,F,Mild touch,lickbite,0,18
Day2 drug,F3,F,Mild touch,guarding,0,18
Day2 drug,F3,F,Mild touch,escape,2,18
Day2 drug,F3,F,Pin prick,withdrawal,17,19
Day2 drug,F3,F,Pin prick,flinch,16,19
Day2 drug,F3,F,Pin prick,attending,0,19
Day2 drug,F3,F,Pin prick,lickbite,0,19
Day2 drug,F3,F,Pin prick,guarding,3,19
Day2 drug,F3,F,Pin prick,escape,2,19
Day2 drug,F3,F,Heat,withdrawal,14,14
Day2 drug,F3,F,Heat,flinch,16,14
Day2 drug,F3,F,Heat,attending,7,14
Day2 drug,F3,F,Heat,lickbite,1,14
Day2 drug,F3,F,Heat,guarding,2,14
Day2 drug,F3,F,Heat,escape,3,14
Day2 drug,M1,M,Light touch,withdrawal,2,12
Day2 drug,M1,M,Light touch,flinch,0,12
Day2 drug,M1,M,Light touch,attending,1,12
Day2 drug,M1,M,Light touch,lickbite,0,12
Day2 drug,M1,M,Light touch,guarding,0,12
Day2 drug,M1,M,Light touch,escape,1,12
Day2 drug,M1,M,Pin prick,withdrawal,14,16
Day2 drug,M1,M,Pin prick,flinch,9,16
Day2 drug,M1,M,Pin prick,attending,3,16
Day2 drug,M1,M,Pin prick,lickbite,0,16
Day2 drug,M1,M,Pin prick,guarding,0,16
Day2 drug,M1,M,Pin prick,escape,2,16
Day2 drug,M1,M,Heat,withdrawal,13,19
Day2 drug,M1,M,Heat,flinch,8,19
Day2 drug,M1,M,Heat,attending,0,19
Day2 drug,M1,M,Heat,lickbite,1,19
Day2 drug,M1,M,Heat,guarding,1,19
Day2 drug,M1,M,Heat,escape,1,19
Day2 drug,M1,M,Mild touch,withdrawal,9,17
Day2 drug,M1,M,Mild touch,flinch,1,17
Day2 drug,M1,M,Mild touch,attending,0,17
Day2 drug,M1,M,Mild touch,lickbite,0,17
Day2 drug,M1,M,Mild touch,guarding,0,17
Day2 drug,M1,M,Mild touch,escape,1,17
Day2 drug,M2,M,Heat,withdrawal,10,19
Day2 drug,M2,M,Heat,flinch,6,19
Day2 drug,M2,M,Heat,attending,2,19
Day2 drug,M2,M,Heat,lickbite,0,19
Day2 drug,M2,M,Heat,guarding,0,19
Day2 drug,M2,M,Heat,escape,3,19
Day2 drug,M2,M,Pin prick,withdrawal,12,17
Day2 drug,M2,M,Pin prick,flinch,3,17
Day2 drug,M2,M,Pin prick,attending,4,17
Day2 drug,M2,M,Pin prick,lickbite,1,17
Day2 drug,M2,M,Pin prick,guarding,1,17
Day2 drug,M2,M,Pin prick,escape,3,17
Day2 drug,M2,M,Mild touch,withdrawal,9,15
Day2 drug,M2,M,Mild touch,flinch,2,15
Day2 drug,M2,M,Mild touch,attending,1,15
Day2 drug,M2,M,Mild touch,lickbite,0,15
Day2 drug,M2,M,Mild touch,guarding,1,15
Day2 drug,M2,M,Mild touch,escape,2,15
Day2 drug,M2,M,Light touch,withdrawal,8,19
Day2 drug,M2,M,Light touch,flinch,4,19
Day2 drug,M2,M,Light touch,attending,2,19
Day2 drug,M2,M,Light touch,lickbite,0,19
Day2 drug,M2,M,Light touch,guarding,0,19
Day2 drug,M2,M,Light touch,escape,5,19
Day2 drug,M3,M,Light touch,withdrawal,11,17
Day2 drug,M3,M,Light touch,flinch,5,17
Day2 drug,M3,M,Light touch,attending,2,17
Day2 drug,M3,M,Light touch,lickbite,0,17
Day2 drug,M3,M,Light touch,guarding,0,17
Day2 drug,M3,M,Light touch,escape,3,17
Day2 drug,M3,M,Mild touch,withdrawal,13,17
Day2 drug,M3,M,Mild touch,flinch,8,17
Day2 drug,M3,M,Mild touch,attending,3,17
Day2 drug,M3,M,Mild touch,lickbite,0,17
Day2 drug,M3,M,Mild touch,guarding,0,17
Day2 drug,M3,M,Mild touch,escape,2,17
Day2 drug,M3,M,Heat,withdrawal,20,21
Day2 drug,M3,M,Heat,flinch,23,21
Day2 drug,M3,M,Heat,attending,6,21
Day2 drug,M3,M,Heat,lickbite,8,21
Day2 drug,M3,M,Heat,guarding,9,21
Day2 drug,M3,M,Heat,escape,8,21
Day2 drug,M3,M,Pin prick,withdrawal,13,16
Day2 drug,M3,M,Pin prick,flinch,17,16
Day2 drug,M3,M,Pin prick,attending,6,16
Day2 drug,M3,M,Pin prick,lickbite,1,16
Day2 drug,M3,M,Pin prick,guarding,3,16
Day2 drug,M3,M,Pin prick,escape,1,16
