day,file,session,mouse,sex,phase,treatment,session_s,n_deliveries,stim_median_iti_s,cls,behaviour,n_events,events_per_min,n_per_delivery,total_dur_s,pct_of_session,median_iei_s
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,reflexive,withdrawal,99,3.5104343360356602,1.1927710843373494,,,2.333331
Day1 no drug,ScoringAB_male2bottom000526_09_0214_06_31_004.mat,5,M2,M,Baseline (no injection),None,1692.1,83,2.88,reflexive,flinch,110,3.900482595595178,1.3253012048192772,,,1.0333322999999999
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,attending,43,1.49796937100982,0.4725274725274725,27.4999725,1.5966711825043547,5.199994799999999
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,lickbite,21,0.7315664370047958,0.23076923076923078,12.199987799999999,0.7083413973292045,7.51665915
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,guarding,24,0.836075928005481,0.26373626373626374,17.4333159,1.012192761757306,1.999998
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,affective,escape,57,1.9856803290130174,0.6263736263736264,107.9665587,6.268627830462551,17.6999823
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,reflexive,withdrawal,104,3.622995688023751,1.1428571428571428,,,1.5666650999999998
Day1 no drug,ScoringAB_male3bottom000426_09_0213_35_27_011.mat,6,M3,M,Baseline (no injection),None,1722.3,91,1.98,reflexive,flinch,48,1.672151856010962,0.5274725274725275,,,1.4999985
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,affective,attending,3,0.10697528477199232,0.05172413793103448,0.7333326,0.043582479843103074,2.58333075
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,affective,lickbite,13,0.46355956734530007,0.22413793103448276,9.0666576,0.538837932605638,5.24999475
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,affective,guarding,13,0.46355956734530007,0.22413793103448276,19.9333134,1.1846510430079835,44.08328925
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,affective,escape,12,0.4279011390879693,0.20689655172413793,19.0666476,1.13314447592068,31.0333023
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,reflexive,withdrawal,39,1.3906787020359002,0.6724137931034483,,,4.04999595
Day2 drug,ScoringAB_female1bottom000726_09_0311_32_06_001.mat,7,F1,F,Post-treatment,SBI-553,1682.6,58,2.3,reflexive,flinch,13,0.46355956734530007,0.22413793103448276,,,41.7332916
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,affective,attending,8,0.28446720531033365,0.14035087719298245,7.6999923,0.4563323521858517,108.8665578
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,affective,lickbite,7,0.24890880464654194,0.12280701754385964,3.9333294,0.23310483791311906,39.7999602
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,affective,guarding,9,0.3200256059741254,0.15789473684210525,10.266656399999999,0.6084431362478023,103.31656335
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,affective,escape,2,0.07111680132758341,0.03508771929824561,3.1999967999999996,0.18964461389541887,793.5992064
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,reflexive,withdrawal,43,1.5290112285430435,0.7543859649122807,,,2.88333045
Day2 drug,ScoringAB_female2bottom000826_09_0312_01_40.mat,8,F2,F,Post-treatment,SBI-553,1687.4,57,2.15,reflexive,flinch,25,0.8889600165947927,0.43859649122807015,,,1.2666654
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,affective,attending,7,0.24987134811431805,0.10294117647058823,4.4666622,0.2657359298774442,8.3666583
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,affective,lickbite,1,0.03569590687347401,0.014705882352941176,1.6999982999999999,0.10113830166977351,
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,affective,guarding,6,0.21417544124084403,0.08823529411764706,5.333328,0.3172966326894856,146.5665201
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,affective,escape,9,0.321263161861266,0.1323529411764706,18.666648,1.1105382144131994,163.61650305
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,reflexive,withdrawal,45,1.6063158093063303,0.6617647058823529,,,2.74999725
Day2 drug,ScoringAB_female3bottom000926_09_0312_31_11.mat,9,F3,F,Post-treatment,SBI-553,1680.9,68,2.0,reflexive,flinch,36,1.285052647445064,0.5294117647058824,,,0.5333327999999999
Day2 drug,ScoringAB_male1bottom001226_09_0314_00_32.mat,10,M1,M,Post-treatment,SBI-553,1696.6,64,1.97,affective,attending,5,0.17682093950782923,0.078125,9.0333243,0.5324269632016346,155.81651085
