Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,pin,9194,306.4330
,2,1,pin,9245,308.1330
,3,1,pin,9351,311.6664
,4,1,pin,13867,462.1995
,5,1,pin,13892,463.0329
,6,1,pin,13932,464.3662
,7,1,pin,13973,465.7329
,8,1,pin,14061,468.6662
,9,1,pin,14119,470.5995
,10,2,heat,14311,476.9995
,11,1,pin,16599,553.2661
,12,1,pin,16624,554.0994
,13,2,heat,20205,673.4660
,14,2,heat,20235,674.4660
,15,2,heat,20276,675.8327
,16,2,heat,20300,676.6327
,17,2,heat,21974,732.4326
,18,2,heat,21999,733.2659
,19,2,heat,24313,810.3992
,20,2,heat,24423,814.0659
,21,2,heat,25471,848.9992
,22,2,heat,25535,851.1325
,23,2,heat,25611,853.6658
,24,2,heat,27082,902.6991
,25,2,heat,27117,903.8658
,26,3,light,30909,1030.2656
,27,3,light,30959,1031.9323
,28,3,light,31018,1033.8990
,29,3,light,31071,1035.6656
,30,3,light,32525,1084.1322
,31,3,light,32600,1086.6322
,32,3,light,32633,1087.7322
,33,3,light,32680,1089.2989
,34,3,light,32710,1090.2989
,35,3,light,35029,1167.5988
,36,3,light,35084,1169.4322
,37,3,light,35099,1169.9322
,38,3,light,36197,1206.5321
,39,3,light,36242,1208.0321
,40,3,light,36294,1209.7655
,41,3,light,38048,1268.2321
,42,3,light,38071,1268.9987
,43,3,light,38154,1271.7654
,44,3,light,41796,1393.1653
,45,3,light,41852,1395.0319
,46,3,light,41917,1397.1986
,47,4,mild,44462,1482.0319
,48,4,mild,44518,1483.8985
,49,4,mild,44544,1484.7652
,50,4,mild,44590,1486.2985
,51,4,mild,44662,1488.6985
,52,4,mild,47173,1572.3984
,53,4,mild,47255,1575.1318
,54,4,mild,49347,1644.8650
,55,4,mild,49444,1648.0984
,56,4,mild,49513,1650.3983
,57,4,mild,49574,1652.4317
