Session,Delivery,Stim code,Stimulus,Frame,Time_s
,1,1,Light touch,9360,311.9664
,2,1,Light touch,9429,314.2664
,3,1,Light touch,9517,317.1997
,4,1,Light touch,9540,317.9663
,5,1,Light touch,11184,372.7663
,6,1,Light touch,11273,375.7330
,7,1,Light touch,11290,376.2996
,8,1,Light touch,11359,378.5996
,9,1,Light touch,12803,426.7329
,10,1,Light touch,12871,428.9996
,11,1,Light touch,12982,432.6996
,12,1,Light touch,15593,519.7328
,13,1,Light touch,15633,521.0661
,14,1,Light touch,15718,523.8995
,15,1,Light touch,16829,560.9328
,16,1,Light touch,16836,561.1661
,17,1,Light touch,16897,563.1994
,18,1,Light touch,21003,700.0660
,19,2,Mild touch,21011,700.3326
,20,1,Light touch,21061,701.9993
,21,2,Mild touch,21079,702.5993
,22,2,Mild touch,21103,703.3993
,23,2,Mild touch,23494,783.0992
,24,2,Mild touch,23521,783.9992
,25,2,Mild touch,23556,785.1659
,26,2,Mild touch,23677,789.1992
,27,2,Mild touch,23902,796.6992
,28,2,Mild touch,23982,799.3659
,29,2,Mild touch,24064,802.0992
,30,2,Mild touch,26764,892.0991
,31,2,Mild touch,26799,893.2658
,32,2,Mild touch,26850,894.9658
,33,2,Mild touch,27271,908.9991
,34,2,Mild touch,27295,909.7991
,35,3,Heat,32131,1070.9989
,36,3,Heat,32150,1071.6323
,37,3,Heat,32174,1072.4323
,38,3,Heat,32479,1082.5989
,39,3,Heat,32549,1084.9322
,40,3,Heat,32575,1085.7989
,41,3,Heat,32597,1086.5322
,42,3,Heat,32638,1087.8989
,43,3,Heat,32936,1097.8322
,44,3,Heat,32978,1099.2322
,45,3,Heat,33020,1100.6322
,46,3,Heat,35081,1169.3322
,47,3,Heat,35135,1171.1322
,48,3,Heat,35171,1172.3322
,49,3,Heat,35253,1175.0655
,50,3,Heat,36481,1215.9988
,51,3,Heat,36577,1219.1988
,52,3,Heat,36599,1219.9321
,53,3,Heat,36611,1220.3321
,54,4,Pin prick,39140,1304.6320
,55,4,Pin prick,39154,1305.0987
,56,4,Pin prick,42266,1408.8319
,57,4,Pin prick,42312,1410.3653
,58,4,Pin prick,42343,1411.3986
,59,4,Pin prick,42411,1413.6653
,60,4,Pin prick,43932,1464.3652
,61,4,Pin prick,43999,1466.5985
,62,4,Pin prick,44101,1469.9985
,63,4,Pin prick,44136,1471.1652
,64,4,Pin prick,44184,1472.7652
,65,4,Pin prick,46956,1565.1651
,66,4,Pin prick,46987,1566.1984
,67,4,Pin prick,47024,1567.4318
,68,4,Pin prick,49142,1638.0317
,69,4,Pin prick,49181,1639.3317
,70,4,Pin prick,49211,1640.3317
,71,4,Pin prick,49275,1642.4650
