session,day,mouse,sex,phase,period,kind,pos,stim_code,stimulus,n_del,dur_min,truncated,uncertain_pct,attending_dur_pct_time,escape_dur_pct_time,guarding_dur_pct_time,lickbite_dur_pct_time,attending_n_per_delivery,escape_n_per_delivery,flinch_n_per_delivery,guarding_n_per_delivery,lickbite_n_per_delivery,withdrawal_n_per_delivery,attending_rate_per_min,escape_rate_per_min,flinch_rate_per_min,guarding_rate_per_min,lickbite_rate_per_min,withdrawal_rate_per_min
1,1,F1,F,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,4.622222222222223,0.0,0.0,,,,,,,0.0,4.200004200004201,0.0,0.0,0.0,0.0
1,1,F1,F,Baseline (no injection),block1_Mild touch,stimulus,1,1,Mild touch,26,5.346105765,0,0.0,0.0,1.1119193598669854,0.3117530915514912,0.0,0.0,0.2692307692307692,1.0769230769230769,0.038461538461538464,0.0,1.5384615384615385,0.0,1.309364293880557,5.237457175522228,0.1870520419829367,0.0,7.482081679317469
1,1,F1,F,Baseline (no injection),block2_Pin prick,stimulus,2,2,Pin prick,16,5.999994,0,0.0,0.7314814814814814,6.99074074074074,0.0,0.11111111111111109,0.5,1.625,0.8125,0.0,0.1875,1.25,1.333334666668,4.333337666671,2.1666688333355,0.0,0.5000005000005,3.33333666667
1,1,F1,F,Baseline (no injection),block3_Light touch,stimulus,3,3,Light touch,22,5.98332735,0,0.0,0.08356545961002784,1.81058495821727,0.0,0.3156917363045496,0.045454545454545456,0.2727272727272727,0.3181818181818182,0.0,0.13636363636363635,0.5909090909090909,0.16713108635114207,1.0027865181068525,1.1699176044579944,0.0,0.5013932590534262,2.1727041225648467
1,1,F1,F,Baseline (no injection),block4_Heat,stimulus,4,4,Heat,23,4.856106254999999,0,0.0,0.08008237043816498,7.733668916599933,0.34321015902070706,2.6884795789955387,0.08695652173913043,1.0869565217391304,0.9565217391304348,0.043478260869565216,0.6086956521739131,1.565217391304348,0.41185260267745116,5.148157533468139,4.530378629451962,0.20592630133872558,2.882968218742158,7.413346848194121
2,1,F2,F,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,3.677777777777778,0.0,0.0,,,,,,,0.0,2.0000020000020005,0.0,0.0,0.0,0.0
2,1,F2,F,Baseline (no injection),block1_Heat,stimulus,1,1,Heat,20,5.999994,0,0.0,0.35185185185185186,4.87962962962963,2.8703703703703707,2.435185185185185,0.3,1.0,0.6,0.55,1.3,1.3,1.000001000001,3.33333666667,2.000002000002,1.8333351666685,4.333337666671,4.333337666671
2,1,F2,F,Baseline (no injection),block2_Mild touch,stimulus,2,2,Mild touch,20,5.999994,0,0.0,0.324074074074074,2.324074074074074,0.2777777777777778,0.44444444444444436,0.25,0.95,0.05,0.05,0.45,1.0,0.8333341666675,3.1666698333365,0.1666668333335,0.1666668333335,1.5000015000015,3.33333666667
2,1,F2,F,Baseline (no injection),block3_Pin prick,stimulus,3,3,Pin prick,31,5.999994,0,0.0,0.22222222222222218,2.675925925925926,1.4629629629629628,1.3703703703703702,0.16129032258064516,0.2903225806451613,0.16129032258064516,0.3225806451612903,0.45161290322580644,1.032258064516129,0.8333341666675,1.5000015000015,0.8333341666675,1.666668333335,2.333335666669,5.333338666672
2,1,F2,F,Baseline (no injection),block4_Light touch,stimulus,4,4,Light touch,17,4.650550905,0,0.0,0.6450842193286346,3.5957472225540554,0.3583801218492414,0.22697407717118623,0.17647058823529413,0.7058823529411765,0.4117647058823529,0.058823529411764705,0.11764705882352941,0.8235294117647058,0.645084864413499,2.580339457653996,1.505198016964831,0.21502828813783298,0.43005657627566596,3.010396033929662
3,1,F3,F,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,7.611111111111112,0.0,0.0,,,,,,,0.0,4.800004800004801,0.0,0.0,0.0,0.0
3,1,F3,F,Baseline (no injection),block1_Heat,stimulus,1,1,Heat,15,5.999994,0,0.0,0.7777777777777779,7.722222222222221,1.0092592592592593,6.018518518518518,0.3333333333333333,2.533333333333333,0.13333333333333333,0.5333333333333333,2.466666666666667,2.3333333333333335,0.8333341666675,6.333339666673,0.333333666667,1.333334666668,6.1666728333395,5.8333391666725
3,1,F3,F,Baseline (no injection),block2_Light touch,stimulus,2,2,Light touch,30,5.888882999999999,0,0.0,0.19811320754716985,1.3962264150943398,1.1132075471698115,1.7924528301886793,0.13333333333333333,0.16666666666666666,0.23333333333333334,0.1,0.26666666666666666,0.5333333333333333,0.6792459622648304,0.8490574528310378,1.1886804339634531,0.5094344716986228,1.3584919245296607,2.7169838490593214
3,1,F3,F,Baseline (no injection),block3_Pin prick,stimulus,3,3,Pin prick,21,5.93777184,0,0.0,0.1309880239520958,6.380988023952096,2.0396706586826348,0.5052395209580838,0.09523809523809523,1.2380952380952381,0.7142857142857143,0.5714285714285714,0.38095238095238093,0.8571428571428571,0.33682668413207334,4.378746893716953,2.52620013099055,2.02096010479244,1.3473067365282934,3.0314401571886602
3,1,F3,F,Baseline (no injection),block4_Mild touch,stimulus,4,4,Mild touch,19,4.95332838,0,0.0,0.1570210856886496,2.2880215343203227,0.6729475100942126,0.21310004486316733,0.21052631578947367,0.42105263157894735,0.47368421052631576,0.10526315789473684,0.10526315789473684,1.0,0.8075378196508748,1.6150756393017496,1.8169600942144684,0.4037689098254374,0.4037689098254374,3.835804643341655
4,1,M1,M,Baseline (no injection),baseline,baseline,0,0,none,0,4.999994999999999,0,0.0,0.0,10.766666666666667,0.0,0.0,,,,,,,0.0,3.4000034000034005,0.0,0.0,0.0,0.0
4,1,M1,M,Baseline (no injection),block1_Mild touch,stimulus,1,1,Mild touch,26,5.999994,0,0.0,0.6018518518518519,4.0740740740740735,2.990740740740741,0.7129629629629629,0.19230769230769232,0.46153846153846156,0.6923076923076923,0.3076923076923077,0.15384615384615385,1.1538461538461537,0.8333341666675,2.000002000002,3.000003000003,1.333334666668,0.666667333334,5.000005000005
4,1,M1,M,Baseline (no injection),block2_Light touch,stimulus,2,2,Light touch,28,5.8777719,0,0.0,0.47258979206049145,7.608695652173913,1.3327032136105859,2.996219281663516,0.14285714285714285,0.6785714285714286,1.0,0.07142857142857142,0.25,0.75,0.6805299810970888,3.2325174102111722,4.763709867679622,0.3402649905485444,1.1909274669199055,3.5727824007597166
