Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,59,4,Pin prick,6,30.00,1,3,3,2.57,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,60,4,Pin prick,7,2.23,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,61,4,Pin prick,8,3.40,1,3,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,62,4,Pin prick,9,1.17,0,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,63,4,Pin prick,10,1.60,0,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,64,4,Pin prick,11,30.00,0,0,0,0.00,0,0.00,0,0.00,1,0.53,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,65,4,Pin prick,12,1.03,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,66,4,Pin prick,13,1.23,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,67,4,Pin prick,14,30.00,1,2,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,68,4,Pin prick,15,1.30,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,69,4,Pin prick,16,1.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,70,4,Pin prick,17,2.13,1,1,1,0.30,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,71,4,Pin prick,18,30.00,1,1,1,0.30,0,0.00,0,0.00,0,0.00,,male3bottom001026_09_0313_01_11.avi,dual view; guard min 2.0s
