Session,Day,Mouse ID,Sex,Phase,Treatment,Trial,Stim code,Stimulus,Rep,Obs window (s),Withdrawal (0/1),Flinch count,Attending count,Attending dur (s),Lick/bite count,Lick/bite dur (s),Guarding count,Guarding dur (s),Escape/rear count,Escape/rear dur (s),Scorer,Video file,Notes
,2,,,Baseline,BLIND,42,3,mild,7,1.27,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,43,3,mild,8,30.00,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,44,3,mild,9,0.47,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,45,3,mild,10,0.77,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,46,3,mild,11,30.00,0,0,1,1.90,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,47,4,light,1,1.47,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,48,4,light,2,1.07,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,49,4,light,3,1.03,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,50,4,light,4,1.83,0,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,51,4,light,5,30.00,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,52,4,light,6,1.13,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,53,4,light,7,1.90,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,54,4,light,8,2.50,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,55,4,light,9,30.00,0,0,1,1.80,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,56,4,light,10,1.50,1,0,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
,2,,,Baseline,BLIND,57,4,light,11,2.83,1,1,0,0.00,0,0.00,0,0.00,0,0.00,,male2bottom001126_09_0313_30_46.avi,dual view; guard min 2.0s
